transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP00770009739	Downstream
DIO.1.selenocysteine	ENSP00770009742	Well annotated
DIO.3.selenocysteine	ENSP00770076377	Well annotated
DIO.3.selenocysteine	ENSP00770076378	Well annotated
DIO.3.selenocysteine	ENSP00770076381	Upstream
DIO.3.selenocysteine	ENSP00770076382	Out of frame
DIO.3.selenocysteine	ENSP00770076385	Upstream
DIO.3.selenocysteine	ENSP00770076386	Upstream
DIO.3.selenocysteine	ENSP00770076387	Upstream
DIO.4.selenocysteine	ENSP00770082476	Well annotated
DIO.4.selenocysteine	ENSP00770082477	Well annotated
DIO.4.selenocysteine	ENSP00770082478	Well annotated
DIO.4.selenocysteine	ENSP00770082479	Out of frame
DIO.4.selenocysteine	ENSP00770082480	Out of frame
DIO.4.selenocysteine	ENSP00770082481	Upstream
DIO.4.selenocysteine	ENSP00770082482	Out of frame
DIO.4.selenocysteine	ENSP00770082483	Skipped
DIO.4.selenocysteine	ENSP00770082484	Downstream
DIO.4.selenocysteine	ENSP00770082485	Well annotated
DIO.4.selenocysteine	ENSP00770082486	Upstream
DIO.4.selenocysteine	ENSP00770082487	Upstream
GPX.10.selenocysteine	ENSP00770003419	Well annotated
GPX.10.selenocysteine	ENSP00770003420	Well annotated
GPX.10.selenocysteine	ENSP00770003421	Well annotated
GPX.10.selenocysteine	ENSP00770003422	Well annotated
GPX.10.selenocysteine	ENSP00770003423	Well annotated
GPX.10.selenocysteine	ENSP00770003424	Well annotated
GPX.10.selenocysteine	ENSP00770003425	Well annotated
GPX.10.selenocysteine	ENSP00770003427	Downstream
GPX.10.selenocysteine	ENSP00770003429	Well annotated
GPX.10.selenocysteine	ENSP00770003432	Well annotated
GPX.10.selenocysteine	ENSP00770003434	Well annotated
GPX.10.selenocysteine	ENSP00770003438	Downstream
GPX.12.selenocysteine	ENSP00770101056	Well annotated
GPX.12.selenocysteine	ENSP00770101057	Well annotated
GPX.12.selenocysteine	ENSP00770101058	Upstream
GPX.12.selenocysteine	ENSP00770101059	Upstream
GPX.12.selenocysteine	ENSP00770101060	Out of frame
GPX.2.selenocysteine	ENSP00770083804	Well annotated
GPX.2.selenocysteine	ENSP00770083808	Well annotated
GPX.2.selenocysteine	ENSP00770083811	Skipped
GPX.2.selenocysteine	ENSP00770083815	Well annotated
GPX.2.selenocysteine	ENSP00770083818	Well annotated
GPX.2.selenocysteine	ENSP00770083821	Well annotated
GPX.2.selenocysteine	ENSP00770083822	Skipped
GPX.2.selenocysteine	ENSP00770083825	Well annotated
GPX.2.selenocysteine	ENSP00770083826	Well annotated
GPX.2.selenocysteine	ENSP00770083830	Well annotated
GPX.2.selenocysteine	ENSP00770083833	Well annotated
GPX.2.selenocysteine	ENSP00770083840	Upstream
GPX.2.selenocysteine	ENSP00770083844	Well annotated
