transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_003734125.3	Stop codon
DIO.3.selenocysteine	cds-XP_009004647.3	Well annotated
DIO.3.selenocysteine	cds-XP_035117087.1	Well annotated
DIO.4.selenocysteine	cds-XP_002750893.3	Well annotated
DIO.4.selenocysteine	cds-XP_017830254.1	Well annotated
DIO.4.selenocysteine	cds-XP_017830255.3	Well annotated
DIO.4.selenocysteine	cds-XP_017830256.1	Well annotated
DIO.4.selenocysteine	cds-XP_017830257.1	Upstream
GPX.25.selenocysteine	cds-XP_002807290.2	Well annotated
GPX.38.selenocysteine	cds-XP_003732305.2	Well annotated
GPX.42.selenocysteine	cds-XP_008985133.3	Well annotated
GPX.42.selenocysteine	cds-XP_017823036.1	Well annotated
GPX.42.selenocysteine	cds-XP_054105461.1	Well annotated
GPX.42.selenocysteine	cds-XP_054105462.1	Well annotated
GPX.9.selenocysteine	cds-XP_035131397.1	Well annotated
GPX.9.selenocysteine	cds-XP_035131398.1	Well annotated
MSRB.1.selenocysteine	cds-XP_002755855.3	Well annotated
MSRB.1.selenocysteine	cds-XP_035122520.1	Out of frame
SELENOF.3.selenocysteine	cds-XP_017830382.2	Well annotated
SELENOF.3.selenocysteine	cds-XP_017830384.2	Well annotated
SELENOH.2.selenocysteine	cds-NP_001186830.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_035129498.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_035129499.1	Out of frame
SELENOI.3.selenocysteine	cds-XP_054100367.1	Upstream
SELENOK.12.selenocysteine	cds-NP_001186844.1	Well annotated
SELENOM.2.selenocysteine	cds-NP_001186860.1	Well annotated
SELENON.8.selenocysteine	cds-XP_035164083.1	Well annotated
SELENON.8.selenocysteine	cds-XP_035164084.1	Well annotated
SELENON.8.selenocysteine	cds-XP_035164085.1	Well annotated
SELENON.8.selenocysteine	cds-XP_035164086.1	Well annotated
SELENON.8.selenocysteine	cds-XP_054114919.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_003732203.4	Well annotated
SELENOO.1.selenocysteine	cds-XP_035130001.2	Well annotated
SELENOO.1.selenocysteine	cds-XP_054098769.1	Upstream
SELENOP.3.selenocysteine	cds-NP_001186857.1	Well annotated
SELENOS.4.selenocysteine	cds-NP_001186855.1	Well annotated
SELENOT.3.selenocysteine	cds-NP_001186858.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_035141937.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_035141939.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_035141940.1	Upstream
SELENOW.5.selenocysteine	cds-NP_001186837.1	Well annotated
SELENOW.5.selenocysteine	cds-NP_001265306.1	Well annotated
SEPHS2.4.selenocysteine	cds-XP_035123295.1	Well annotated
SEPHS2.4.selenocysteine	cds-XP_035123296.1	Well annotated
TXNRD.10.selenocysteine	cds-NP_001243348.1	Well annotated
TXNRD.22.selenocysteine	cds-XP_054101985.1	Upstream
TXNRD.22.selenocysteine	cds-XP_054101986.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_035132899.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_035132992.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_035133167.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097805.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097806.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097808.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097809.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097814.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097820.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097823.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097825.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097828.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_054097833.1	Stop codon
