transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSNMLP00000037493	Downstream
DIO.1.selenocysteine	ENSNMLP00000037494	Stop codon
DIO.2.selenocysteine	ENSNMLP00000018068	Downstream
DIO.2.selenocysteine	ENSNMLP00000018071	Stop codon
DIO.4.selenocysteine	ENSNMLP00000036017	Downstream
DIO.4.selenocysteine	ENSNMLP00000036018	Stop codon
GPX.13.selenocysteine	ENSNMLP00000016718	Skipped
GPX.13.selenocysteine	ENSNMLP00000016727	Downstream
GPX.2.selenocysteine	ENSNMLP00000029111	Downstream
GPX.23.selenocysteine	ENSNMLP00000017009	Stop codon
GPX.23.selenocysteine	ENSNMLP00000017014	Downstream
GPX.4.selenocysteine	ENSNMLP00000039007	Skipped
GPX.6.selenocysteine	ENSNMLP00000029307	Skipped
GPX.7.selenocysteine	ENSNMLP00000019703	Downstream
MSRB.1.selenocysteine	ENSNMLP00000021915	Stop codon
MSRB.3.selenocysteine	ENSNMLP00000021913	Stop codon
MSRB.5.selenocysteine	ENSNMLP00000028819	Stop codon
SELENOF.3.selenocysteine	ENSNMLP00000038101	Upstream
SELENOH.1.selenocysteine	ENSNMLP00000021549	Downstream
SELENOH.1.selenocysteine	ENSNMLP00000021550	Downstream
SELENOI.7.selenocysteine	ENSNMLP00000006716	Stop codon
SELENOI.7.selenocysteine	ENSNMLP00000006720	Upstream
SELENOJ.13.selenocysteine	ENSNMLP00000013552	Stop codon
SELENOJ.8.selenocysteine	ENSNMLP00000034318	Skipped
SELENOK.1.selenocysteine	ENSNMLP00000023390	Stop codon
SELENOL.6.selenocysteine	ENSNMLP00000038209	Skipped
SELENOM.3.selenocysteine	ENSNMLP00000001594	Downstream
SELENOP.3.selenocysteine	ENSNMLP00000038672	Skipped
SELENOP.6.selenocysteine	ENSNMLP00000031376	Skipped
SELENOS.2.selenocysteine	ENSNMLP00000010683	Stop codon
SELENOT.3.selenocysteine	ENSNMLP00000028975	Skipped
SELENOT.3.selenocysteine	ENSNMLP00000028977	Out of frame
SELENOT.5.selenocysteine	ENSNMLP00000000656	Out of frame
SELENOT.5.selenocysteine	ENSNMLP00000000666	Upstream
SELENOW.2.selenocysteine	ENSNMLP00000025754	Downstream
SEPHS2.10.selenocysteine	ENSNMLP00000007681	Skipped
