transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSPTRP00045036944	Downstream
DIO.3.selenocysteine	ENSPTRP00045016444	Out of frame
DIO.4.selenocysteine	ENSPTRP00045007522	Downstream
DIO.4.selenocysteine	ENSPTRP00045007527	Stop codon
DIO.4.selenocysteine	ENSPTRP00045007530	Upstream
DIO.4.selenocysteine	ENSPTRP00045007531	Skipped
DIO.4.selenocysteine	ENSPTRP00045007532	Skipped
GPX.12.selenocysteine	ENSPTRP00045014273	Skipped
GPX.12.selenocysteine	ENSPTRP00045014277	Upstream
GPX.22.selenocysteine	ENSPTRP00045061425	Skipped
GPX.25.selenocysteine	ENSPTRP00045027407	Skipped
GPX.25.selenocysteine	ENSPTRP00045027416	Skipped
GPX.3.selenocysteine	ENSPTRP00045057827	Skipped
GPX.5.selenocysteine	ENSPTRP00045040425	Downstream
MSRB.3.selenocysteine	ENSPTRP00045054436	Out of frame
MSRB.3.selenocysteine	ENSPTRP00045054447	Out of frame
MSRB.3.selenocysteine	ENSPTRP00045054453	Skipped
SELENOF.3.selenocysteine	ENSPTRP00045054157	Out of frame
SELENOF.3.selenocysteine	ENSPTRP00045054166	Stop codon
SELENOF.3.selenocysteine	ENSPTRP00045054174	Skipped
SELENOH.2.selenocysteine	ENSPTRP00045032170	Skipped
SELENOI.3.selenocysteine	ENSPTRP00045043749	Stop codon
SELENOK.7.selenocysteine	ENSPTRP00045061122	Stop codon
SELENOM.2.selenocysteine	ENSPTRP00045034056	Skipped
SELENOM.2.selenocysteine	ENSPTRP00045034063	Skipped
SELENON.8.selenocysteine	ENSPTRP00045061607	Skipped
SELENOO.1.selenocysteine	ENSPTRP00045010391	Stop codon
SELENOP.3.selenocysteine	ENSPTRP00045000956	Stop codon
SELENOS.3.selenocysteine	ENSPTRP00045019071	Stop codon
SELENOS.3.selenocysteine	ENSPTRP00045019073	Stop codon
SELENOT.5.selenocysteine	ENSPTRP00045003401	Downstream
SELENOW.3.selenocysteine	ENSPTRP00045037185	Skipped
SELENOW.4.selenocysteine	ENSPTRP00045037228	Skipped
SEPHS2.1.selenocysteine	ENSPTRP00045025204	Skipped
TXNRD.13.selenocysteine	ENSPTRP00045015124	Stop codon
TXNRD.13.selenocysteine	ENSPTRP00045015128	Stop codon
TXNRD.34.selenocysteine	ENSPTRP00045034226	Stop codon
TXNRD.34.selenocysteine	ENSPTRP00045034259	Upstream
TXNRD.34.selenocysteine	ENSPTRP00045034265	Stop codon
TXNRD.34.selenocysteine	ENSPTRP00045034271	Upstream
TXNRD.9.selenocysteine	ENSPTRP00045051430	Stop codon
TXNRD.9.selenocysteine	ENSPTRP00045051444	Stop codon
TXNRD.9.selenocysteine	ENSPTRP00045051454	Stop codon
TXNRD.9.selenocysteine	ENSPTRP00045051460	Stop codon
TXNRD.9.selenocysteine	ENSPTRP00045051471	Stop codon
TXNRD.9.selenocysteine	ENSPTRP00045051477	Stop codon
TXNRD.9.selenocysteine	ENSPTRP00045051485	Upstream
