transcript_id	transcript_id_ens	Type_annotation
AhpC.8.selenocysteine	ENSKXSP00000022263	Downstream
AhpC.8.selenocysteine	ENSKXSP00000022268	Downstream
AhpC.8.selenocysteine	ENSKXSP00000023418	Downstream
AhpC.9.selenocysteine	ENSKXSP00000021078	Downstream
GPX.2.selenocysteine	ENSKXSP00000011226	Skipped
GPX.2.selenocysteine	ENSKXSP00000011233	Stop codon
MSRB.1.selenocysteine	ENSKXSP00000008874	Upstream
MsrA.2.selenocysteine	ENSKXSP00000028827	Downstream
SELENOF.2.selenocysteine	ENSKXSP00000009170	Skipped
SELENOJ.3.selenocysteine	ENSKXSP00000012567	Stop codon
SELENOJ.3.selenocysteine	ENSKXSP00000012571	Skipped
SELENOL.1.selenocysteine	ENSKXSP00000007283	Stop codon
SELENON.2.selenocysteine	ENSKXSP00000020854	Skipped
SELENON.2.selenocysteine	ENSKXSP00000020868	Stop codon
SELENOO.8.selenocysteine	ENSKXSP00000019215	Stop codon
SELENOT.1.selenocysteine	ENSKXSP00000007748	Downstream
SELENOT.1.selenocysteine	ENSKXSP00000007759	Downstream
SELENOT.1.selenocysteine	ENSKXSP00000007768	Downstream
SELENOU.4.selenocysteine	ENSKXSP00000001461	Stop codon
SELENOU.4.selenocysteine	ENSKXSP00000001474	Skipped
SELENOU.8.selenocysteine	ENSKXSP00000012188	Downstream
TXNRD.10.selenocysteine	ENSKXSP00000019695	Stop codon
TXNRD.10.selenocysteine	ENSKXSP00000019709	Stop codon
TXNRD.10.selenocysteine	ENSKXSP00000019731	Stop codon
TXNRD.5.selenocysteine	ENSKXSP00000013545	Skipped
TXNRD.5.selenocysteine	ENSKXSP00000013554	Stop codon
