transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSYCLP00000002094	Well annotated
DIO.3.selenocysteine	ENSYCLP00000010819	Well annotated
DIO.5.selenocysteine	ENSYCLP00000021749	Skipped
DIO.5.selenocysteine	ENSYCLP00000021760	Skipped
GPX.19.selenocysteine	ENSYCLP00000011095	Downstream
GPX.19.selenocysteine	ENSYCLP00000011114	Skipped
GPX.19.selenocysteine	ENSYCLP00000011135	Well annotated
GPX.2.selenocysteine	ENSYCLP00000024140	Well annotated
GPX.4.selenocysteine	ENSYCLP00000008827	Skipped
GPX.4.selenocysteine	ENSYCLP00000008838	Skipped
GPX.9.selenocysteine	ENSYCLP00000000187	Skipped
GPX.9.selenocysteine	ENSYCLP00000000188	Well annotated
GPX.9.selenocysteine	ENSYCLP00000000189	Skipped
MSRB.2.selenocysteine	ENSYCLP00000022383	Well annotated
SELENOF.2.selenocysteine	ENSYCLP00000006085	Well annotated
SELENOH.3.selenocysteine	ENSYCLP00000021670	Skipped
SELENOI.5.selenocysteine	ENSYCLP00000009028	Well annotated
SELENOI.5.selenocysteine	ENSYCLP00000009038	Skipped
SELENOK.2.selenocysteine	ENSYCLP00000015692	Stop codon
SELENOM.2.selenocysteine	ENSYCLP00000012939	Skipped
SELENON.2.selenocysteine	ENSYCLP00000017911	Skipped
SELENOO.3.selenocysteine	ENSYCLP00000009337	Stop codon
SELENOS.2.selenocysteine	ENSYCLP00000014259	Stop codon
SELENOT.3.selenocysteine	ENSYCLP00000011556	Well annotated
SELENOW.6.selenocysteine	ENSYCLP00000014910	Downstream
SEPHS2.1.selenocysteine	ENSYCLP00000018987	Skipped
TXNRD.10.selenocysteine	ENSYCLP00000000241	Well annotated
TXNRD.10.selenocysteine	ENSYCLP00000000245	Skipped
TXNRD.16.selenocysteine	ENSYCLP00000012128	Well annotated
TXNRD.31.selenocysteine	ENSYCLP00000011117	Skipped
