transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_084004761.1	Well annotated
DIO.5.selenocysteine	cds-XP_084038562.1	Well annotated
GPX.1.selenocysteine	cds-XP_084037833.1	Well annotated
GPX.4.selenocysteine	cds-XP_084029826.1	Downstream
GPX.5.selenocysteine	cds-XP_084029972.1	Downstream
GPX.7.selenocysteine	cds-XP_084024118.1	Well annotated
GPX.7.selenocysteine	cds-XP_084024119.1	Downstream
GPX.8.selenocysteine	cds-XP_084028287.1	Well annotated
GPX.8.selenocysteine	cds-XP_084028288.1	Well annotated
MSRB.18.selenocysteine	cds-XP_083997645.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_084003173.1	Well annotated
SELENOI.9.selenocysteine	cds-XP_084053654.1	Well annotated
SELENOJ.12.selenocysteine	cds-XP_083995753.1	Well annotated
SELENOJ.12.selenocysteine	cds-XP_083995754.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_084040577.1	Stop codon
SELENOL.10.selenocysteine	cds-XP_084007077.1	Well annotated
SELENOL.3.selenocysteine	cds-XP_084005414.1	Well annotated
SELENON.5.selenocysteine	cds-XP_084038683.1	Well annotated
SELENOO.10.selenocysteine	cds-XP_084031160.1	Stop codon
SELENOO.3.selenocysteine	cds-XP_084025336.1	Stop codon
SELENOP.10.selenocysteine	cds-XP_083995702.1	Well annotated
SELENOP.10.selenocysteine	cds-XP_083995703.1	Well annotated
SELENOP.10.selenocysteine	cds-XP_083995704.1	Well annotated
SELENOS.5.selenocysteine	cds-XP_084010502.1	Stop codon
SELENOU.16.selenocysteine	cds-XP_084009726.1	Well annotated
SELENOU.16.selenocysteine	cds-XP_084009727.1	Well annotated
SELENOU.16.selenocysteine	cds-XP_084009728.1	Well annotated
SELENOU.16.selenocysteine	cds-XP_084009729.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_084050987.1	Downstream
SELENOW.5.selenocysteine	cds-XP_084010226.1	Downstream
SEPHS2.10.selenocysteine	cds-XP_084045958.1	Well annotated
SEPHS2.14.selenocysteine	cds-XP_084041059.1	Well annotated
TXNRD.1.selenocysteine	cds-XP_084028877.1	Stop codon
TXNRD.18.selenocysteine	cds-XP_084022830.1	Stop codon
TXNRD.26.selenocysteine	cds-XP_084017676.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_084033576.1	Stop codon
