transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NWH96757.1	Downstream
DIO.3.selenocysteine	cds-TICMUR_R12099	Well annotated
DIO.5.selenocysteine	cds-NWI00578.1	Stop codon
GPX.1.selenocysteine	cds-NWH98105.1	Downstream
GPX.2.selenocysteine	cds-NWI03757.1	Downstream
GPX.4.selenocysteine	cds-NWI05678.1	Skipped
GPX.7.selenocysteine	cds-TICMUR_R11884	Well annotated
SELENOI.6.selenocysteine	cds-TICMUR_R11722	Out of frame
SELENOK.2.selenocysteine	cds-NWI06897.1	Stop codon
SELENOM.1.selenocysteine	cds-NWI00828.1	Downstream
SELENON.5.selenocysteine	cds-NWI00923.1	Skipped
SELENOP.2.selenocysteine	cds-NWI01514.1	Downstream
SELENOP.5.selenocysteine	cds-NWI05136.1	Downstream
SELENOS.4.selenocysteine	cds-NWI02701.1	Stop codon
SELENOT.2.selenocysteine	cds-NWH97729.1	Downstream
SELENOU.7.selenocysteine	cds-NWH99433.1	Stop codon
SELENOU.7.selenocysteine	cds-NWH99434.1	Downstream
SEPHS2.14.selenocysteine	cds-NWI01189.1	Downstream
TXNRD.21.selenocysteine	cds-NWI04488.1	Stop codon
TXNRD.8.selenocysteine	cds-NWI00894.1	Stop codon
