transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP02290016030	Downstream
DIO.1.selenocysteine	ENSP02290016031	Well annotated
DIO.3.selenocysteine	ENSP02290078535	Well annotated
DIO.3.selenocysteine	ENSP02290078537	Well annotated
DIO.3.selenocysteine	ENSP02290078541	Upstream
DIO.3.selenocysteine	ENSP02290078542	Out of frame
DIO.3.selenocysteine	ENSP02290078546	Upstream
DIO.3.selenocysteine	ENSP02290078548	Upstream
DIO.3.selenocysteine	ENSP02290078550	Upstream
DIO.4.selenocysteine	ENSP02290107018	Well annotated
DIO.4.selenocysteine	ENSP02290107019	Well annotated
DIO.4.selenocysteine	ENSP02290107020	Well annotated
DIO.4.selenocysteine	ENSP02290107022	Out of frame
DIO.4.selenocysteine	ENSP02290107024	Out of frame
DIO.4.selenocysteine	ENSP02290107026	Upstream
DIO.4.selenocysteine	ENSP02290107028	Out of frame
DIO.4.selenocysteine	ENSP02290107030	Skipped
DIO.4.selenocysteine	ENSP02290107032	Downstream
DIO.4.selenocysteine	ENSP02290107034	Well annotated
DIO.4.selenocysteine	ENSP02290107036	Upstream
DIO.4.selenocysteine	ENSP02290107037	Upstream
GPX.11.selenocysteine	ENSP02290011491	Well annotated
GPX.11.selenocysteine	ENSP02290011492	Well annotated
GPX.11.selenocysteine	ENSP02290011494	Well annotated
GPX.11.selenocysteine	ENSP02290011495	Well annotated
GPX.11.selenocysteine	ENSP02290011496	Well annotated
GPX.11.selenocysteine	ENSP02290011497	Well annotated
GPX.11.selenocysteine	ENSP02290011500	Well annotated
GPX.11.selenocysteine	ENSP02290011505	Downstream
GPX.11.selenocysteine	ENSP02290011508	Well annotated
GPX.11.selenocysteine	ENSP02290011511	Well annotated
GPX.11.selenocysteine	ENSP02290011513	Well annotated
GPX.11.selenocysteine	ENSP02290011520	Downstream
GPX.16.selenocysteine	ENSP02290073532	Well annotated
GPX.16.selenocysteine	ENSP02290073535	Well annotated
GPX.16.selenocysteine	ENSP02290073537	Upstream
GPX.16.selenocysteine	ENSP02290073540	Upstream
GPX.16.selenocysteine	ENSP02290073542	Out of frame
GPX.18.selenocysteine	ENSP02290013754	Well annotated
GPX.18.selenocysteine	ENSP02290013755	Well annotated
GPX.3.selenocysteine	ENSP02290105168	Well annotated
GPX.3.selenocysteine	ENSP02290105169	Well annotated
GPX.3.selenocysteine	ENSP02290105170	Skipped
GPX.3.selenocysteine	ENSP02290105171	Well annotated
GPX.3.selenocysteine	ENSP02290105172	Well annotated
GPX.3.selenocysteine	ENSP02290105173	Well annotated
GPX.3.selenocysteine	ENSP02290105174	Skipped
GPX.3.selenocysteine	ENSP02290105175	Well annotated
GPX.3.selenocysteine	ENSP02290105176	Well annotated
GPX.3.selenocysteine	ENSP02290105177	Well annotated
GPX.3.selenocysteine	ENSP02290105178	Well annotated
GPX.3.selenocysteine	ENSP02290105179	Upstream
GPX.3.selenocysteine	ENSP02290105180	Well annotated
GPX.3.selenocysteine	ENSP02290105181	Well annotated
GPX.5.selenocysteine	ENSP02290016931	Well annotated
GPX.5.selenocysteine	ENSP02290016932	Well annotated
GPX.5.selenocysteine	ENSP02290016933	Skipped
GPX.5.selenocysteine	ENSP02290016934	Well annotated
MSRB.2.selenocysteine	ENSP02290091097	Well annotated
MSRB.2.selenocysteine	ENSP02290091099	Upstream
MSRB.2.selenocysteine	ENSP02290091101	Out of frame
MSRB.2.selenocysteine	ENSP02290091102	Out of frame
SELENOF.3.selenocysteine	ENSP02290085025	Well annotated
SELENOF.3.selenocysteine	ENSP02290085026	Well annotated
SELENOF.3.selenocysteine	ENSP02290085027	Well annotated
SELENOF.3.selenocysteine	ENSP02290085028	Out of frame
SELENOF.3.selenocysteine	ENSP02290085029	Out of frame
SELENOH.2.selenocysteine	ENSP02290042394	Well annotated
SELENOH.2.selenocysteine	ENSP02290042397	Well annotated
SELENOH.2.selenocysteine	ENSP02290042401	Out of frame
SELENOI.3.selenocysteine	ENSP02290021397	Upstream
SELENOI.3.selenocysteine	ENSP02290021398	Well annotated
SELENOI.3.selenocysteine	ENSP02290021399	Upstream
SELENOK.7.selenocysteine	ENSP02290106702	Well annotated
SELENOK.7.selenocysteine	ENSP02290106703	Out of frame
SELENOM.2.selenocysteine	ENSP02290003561	Well annotated
SELENOM.2.selenocysteine	ENSP02290003563	Well annotated
SELENON.4.selenocysteine	ENSP02290061425	Well annotated
SELENON.4.selenocysteine	ENSP02290061426	Well annotated
SELENON.4.selenocysteine	ENSP02290061427	Well annotated
SELENON.4.selenocysteine	ENSP02290061428	Well annotated
SELENOO.7.selenocysteine	ENSP02290012389	Well annotated
SELENOP.3.selenocysteine	ENSP02290096902	Well annotated
SELENOP.3.selenocysteine	ENSP02290096903	Well annotated
SELENOP.3.selenocysteine	ENSP02290096904	Well annotated
SELENOP.3.selenocysteine	ENSP02290096905	Well annotated
SELENOP.3.selenocysteine	ENSP02290096906	Well annotated
SELENOP.3.selenocysteine	ENSP02290096907	Well annotated
