transcript_id	transcript_id_ens	Type_annotation
DIO.11.selenocysteine	cds-XP_052818326.1	Downstream
DIO.7.selenocysteine	cds-XP_052818325.1	Downstream
GPX.10.selenocysteine	cds-XP_052790117.1	Well annotated
GPX.26.selenocysteine	cds-XP_052776026.1	Well annotated
GPX.4.selenocysteine	cds-XP_052767949.1	Well annotated
GPX.4.selenocysteine	cds-XP_052767950.1	Well annotated
MSRB.5.selenocysteine	cds-XP_052775866.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_052788115.1	Well annotated
SELENOF.4.selenocysteine	cds-XP_052789645.1	Well annotated
SELENOJ.3.selenocysteine	cds-XP_052789981.1	Stop codon
SELENOL.1.selenocysteine	cds-XP_052768710.1	Well annotated
SELENOL.1.selenocysteine	cds-XP_052768711.1	Well annotated
SELENON.2.selenocysteine	cds-XP_052769269.1	Well annotated
SELENON.2.selenocysteine	cds-XP_052769270.1	Well annotated
SELENOO.4.selenocysteine	cds-XP_052806192.1	Stop codon
SELENOP.1.selenocysteine	cds-XP_052777156.1	Downstream
SELENOP.4.selenocysteine	cds-XP_052775015.1	Well annotated
SELENOT.10.selenocysteine	cds-XP_052784395.1	Well annotated
SELENOT.2.selenocysteine	cds-XP_052782858.1	Well annotated
SELENOU.10.selenocysteine	cds-XP_052780718.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_052820151.1	Well annotated
SEPHS2.4.selenocysteine	cds-XP_052781887.1	Downstream
TXNRD.10.selenocysteine	cds-XP_052780440.1	Stop codon
