transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSRNOP00000093110	Well annotated
DIO.3.selenocysteine	ENSRNOP00000093973	Well annotated
DIO.5.selenocysteine	ENSRNOP00000070330	Well annotated
GPX.13.selenocysteine	ENSRNOP00000076198	Well annotated
GPX.13.selenocysteine	ENSRNOP00000076309	Well annotated
GPX.3.selenocysteine	ENSRNOP00000066577	Well annotated
GPX.6.selenocysteine	ENSRNOP00000072136	Well annotated
MSRB.1.selenocysteine	ENSRNOP00000074809	Well annotated
SELENOF.3.selenocysteine	ENSRNOP00000075579	Well annotated
SELENOH.4.selenocysteine	ENSRNOP00000074642	Stop codon
SELENOI.3.selenocysteine	ENSRNOP00000069055	Stop codon
SELENOK.12.selenocysteine	ENSRNOP00000020284	Well annotated
SELENOM.2.selenocysteine	ENSRNOP00000071242	Skipped
SELENON.10.selenocysteine	ENSRNOP00000022921	Skipped
SELENOO.1.selenocysteine	ENSRNOP00000071919	Well annotated
SELENOP.1.selenocysteine	ENSRNOP00000069020	Well annotated
SELENOS.1.selenocysteine	ENSRNOP00000016916	Stop codon
SELENOS.1.selenocysteine	ENSRNOP00000074863	Upstream
SELENOS.1.selenocysteine	ENSRNOP00000094148	Stop codon
SELENOT.3.selenocysteine	ENSRNOP00000018248	Well annotated
SELENOW.1.selenocysteine	ENSRNOP00000087432	Downstream
SEPHS2.1.selenocysteine	ENSRNOP00000097040	Downstream
TXNRD.10.selenocysteine	ENSRNOP00000013612	Well annotated
TXNRD.22.selenocysteine	ENSRNOP00000071434	Stop codon
TXNRD.22.selenocysteine	ENSRNOP00000074078	Stop codon
TXNRD.31.selenocysteine	ENSRNOP00000002593	Well annotated
