transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_046691663.1	Well annotated
DIO.2.selenocysteine	cds-XP_046712482.1	Well annotated
GPX.12.selenocysteine	cds-XP_046716142.1	Well annotated
GPX.17.selenocysteine	cds-XP_046733018.1	Well annotated
GPX.2.selenocysteine	cds-XP_046730143.1	Well annotated
GPX.20.selenocysteine	cds-XP_046710663.1	Downstream
GPX.22.selenocysteine	cds-XP_046712763.1	Well annotated
GPX.22.selenocysteine	cds-XP_046712764.1	Well annotated
GPX.4.selenocysteine	cds-XP_046730636.1	Well annotated
GPX.5.selenocysteine	cds-XP_046712515.1	Well annotated
MSRB.1.selenocysteine	cds-XP_046709437.1	Well annotated
MSRB.2.selenocysteine	cds-XP_046722746.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_046697178.1	Downstream
SELENOF.1.selenocysteine	cds-XP_046718333.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_046706352.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_046725812.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_046726253.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_046698087.1	Well annotated
SELENON.13.selenocysteine	cds-XP_046711006.1	Well annotated
SELENON.13.selenocysteine	cds-XP_046711007.1	Well annotated
SELENOO.2.selenocysteine	cds-XP_046720185.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_046727707.1	Out of frame
SELENOP.4.selenocysteine	cds-XP_046733137.1	Well annotated
SELENOT.1.selenocysteine	cds-XP_046708525.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_046704902.1	Well annotated
SELENOU.15.selenocysteine	cds-XP_046724380.1	Well annotated
SELENOU.15.selenocysteine	cds-XP_046724389.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_046710831.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_046710832.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_046710833.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_046710834.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_046722651.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_046722652.1	Well annotated
SEPHS2.10.selenocysteine	cds-XP_046725990.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_046706897.1	Stop codon
