transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_039568755.1	Well annotated
DIO.3.selenocysteine	cds-XP_039561236.1	Well annotated
DIO.3.selenocysteine	cds-XP_039561237.1	Well annotated
DIO.5.selenocysteine	cds-XP_039567287.1	Well annotated
GPX.1.selenocysteine	cds-XP_039568294.1	Well annotated
GPX.1.selenocysteine	cds-XP_039568295.1	Well annotated
GPX.12.selenocysteine	cds-XP_039551552.1	Well annotated
GPX.3.selenocysteine	cds-XP_039589843.1	Well annotated
GPX.4.selenocysteine	cds-XP_039557218.1	Well annotated
MSRB.1.selenocysteine	cds-XP_039587905.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_039582976.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_039562533.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_039562534.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_039562536.1	Well annotated
SELENOI.9.selenocysteine	cds-XP_039570627.1	Well annotated
SELENOI.9.selenocysteine	cds-XP_039570628.1	Stop codon
SELENOK.2.selenocysteine	cds-XP_039551464.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_039551465.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_039582051.1	Well annotated
SELENON.3.selenocysteine	cds-XP_039589516.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_039582723.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_039567690.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_039567691.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_039565716.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_039579196.1	Upstream
SELENOS.4.selenocysteine	cds-XP_039579197.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_039569501.1	Well annotated
SELENOT.2.selenocysteine	cds-XP_039569502.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_039575644.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_039575645.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_039575646.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_039575647.1	Well annotated
SEPHS2.7.selenocysteine	cds-XP_039569248.1	Well annotated
TXNRD.20.selenocysteine	cds-XP_039576990.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_039576999.1	Stop codon
TXNRD.29.selenocysteine	cds-XP_039580716.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_039590131.1	Stop codon
