transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP00490000016	Downstream
DIO.1.selenocysteine	ENSP00490000017	Well annotated
DIO.3.selenocysteine	ENSP00490059864	Well annotated
DIO.3.selenocysteine	ENSP00490059865	Well annotated
DIO.3.selenocysteine	ENSP00490059867	Upstream
DIO.3.selenocysteine	ENSP00490059869	Out of frame
DIO.3.selenocysteine	ENSP00490059873	Upstream
DIO.3.selenocysteine	ENSP00490059875	Upstream
DIO.3.selenocysteine	ENSP00490059878	Upstream
DIO.4.selenocysteine	ENSP00490079501	Well annotated
DIO.4.selenocysteine	ENSP00490079502	Well annotated
DIO.4.selenocysteine	ENSP00490079504	Well annotated
DIO.4.selenocysteine	ENSP00490079505	Out of frame
DIO.4.selenocysteine	ENSP00490079506	Out of frame
DIO.4.selenocysteine	ENSP00490079507	Upstream
DIO.4.selenocysteine	ENSP00490079509	Out of frame
DIO.4.selenocysteine	ENSP00490079511	Skipped
DIO.4.selenocysteine	ENSP00490079514	Downstream
DIO.4.selenocysteine	ENSP00490079515	Well annotated
DIO.4.selenocysteine	ENSP00490079517	Upstream
DIO.4.selenocysteine	ENSP00490079520	Upstream
GPX.11.selenocysteine	ENSP00490005910	Well annotated
GPX.11.selenocysteine	ENSP00490005911	Well annotated
GPX.11.selenocysteine	ENSP00490005912	Well annotated
GPX.11.selenocysteine	ENSP00490005913	Well annotated
GPX.11.selenocysteine	ENSP00490005914	Well annotated
GPX.11.selenocysteine	ENSP00490005915	Well annotated
GPX.11.selenocysteine	ENSP00490005916	Well annotated
GPX.11.selenocysteine	ENSP00490005917	Downstream
GPX.11.selenocysteine	ENSP00490005918	Well annotated
GPX.11.selenocysteine	ENSP00490005919	Well annotated
GPX.11.selenocysteine	ENSP00490005920	Well annotated
GPX.11.selenocysteine	ENSP00490005922	Downstream
GPX.16.selenocysteine	ENSP00490096119	Well annotated
GPX.16.selenocysteine	ENSP00490096120	Well annotated
GPX.16.selenocysteine	ENSP00490096121	Upstream
GPX.16.selenocysteine	ENSP00490096122	Upstream
GPX.16.selenocysteine	ENSP00490096123	Out of frame
GPX.18.selenocysteine	ENSP00490001198	Well annotated
GPX.18.selenocysteine	ENSP00490001199	Well annotated
GPX.3.selenocysteine	ENSP00490093089	Well annotated
GPX.3.selenocysteine	ENSP00490093090	Well annotated
GPX.3.selenocysteine	ENSP00490093092	Skipped
GPX.3.selenocysteine	ENSP00490093093	Well annotated
GPX.3.selenocysteine	ENSP00490093094	Well annotated
GPX.3.selenocysteine	ENSP00490093096	Well annotated
GPX.3.selenocysteine	ENSP00490093097	Skipped
GPX.3.selenocysteine	ENSP00490093099	Well annotated
GPX.3.selenocysteine	ENSP00490093100	Well annotated
GPX.3.selenocysteine	ENSP00490093102	Well annotated
GPX.3.selenocysteine	ENSP00490093104	Well annotated
GPX.3.selenocysteine	ENSP00490093106	Upstream
GPX.3.selenocysteine	ENSP00490093107	Well annotated
GPX.3.selenocysteine	ENSP00490093108	Well annotated
GPX.5.selenocysteine	ENSP00490044329	Well annotated
GPX.5.selenocysteine	ENSP00490044332	Well annotated
GPX.5.selenocysteine	ENSP00490044334	Skipped
GPX.5.selenocysteine	ENSP00490044335	Well annotated
MSRB.2.selenocysteine	ENSP00490084014	Well annotated
MSRB.2.selenocysteine	ENSP00490084015	Upstream
