transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01230037536	Downstream
DIO.1.selenocysteine	ENSP01230037537	Well annotated
DIO.3.selenocysteine	ENSP01230003303	Well annotated
DIO.3.selenocysteine	ENSP01230003304	Well annotated
DIO.3.selenocysteine	ENSP01230003306	Upstream
DIO.3.selenocysteine	ENSP01230003307	Out of frame
DIO.3.selenocysteine	ENSP01230003309	Upstream
DIO.3.selenocysteine	ENSP01230003310	Upstream
DIO.3.selenocysteine	ENSP01230003311	Upstream
DIO.4.selenocysteine	ENSP01230098208	Well annotated
DIO.4.selenocysteine	ENSP01230098209	Well annotated
DIO.4.selenocysteine	ENSP01230098211	Well annotated
DIO.4.selenocysteine	ENSP01230098213	Out of frame
DIO.4.selenocysteine	ENSP01230098214	Out of frame
DIO.4.selenocysteine	ENSP01230098215	Upstream
DIO.4.selenocysteine	ENSP01230098217	Out of frame
DIO.4.selenocysteine	ENSP01230098219	Skipped
DIO.4.selenocysteine	ENSP01230098220	Downstream
DIO.4.selenocysteine	ENSP01230098222	Well annotated
DIO.4.selenocysteine	ENSP01230098224	Upstream
DIO.4.selenocysteine	ENSP01230098225	Upstream
GPX.12.selenocysteine	ENSP01230066805	Well annotated
GPX.12.selenocysteine	ENSP01230066807	Well annotated
GPX.12.selenocysteine	ENSP01230066809	Upstream
GPX.12.selenocysteine	ENSP01230066811	Upstream
GPX.12.selenocysteine	ENSP01230066813	Out of frame
GPX.20.selenocysteine	ENSP01230058456	Well annotated
GPX.20.selenocysteine	ENSP01230058458	Well annotated
GPX.25.selenocysteine	ENSP01230037582	Well annotated
GPX.25.selenocysteine	ENSP01230037583	Well annotated
GPX.25.selenocysteine	ENSP01230037584	Well annotated
GPX.25.selenocysteine	ENSP01230037585	Well annotated
GPX.25.selenocysteine	ENSP01230037586	Well annotated
GPX.25.selenocysteine	ENSP01230037587	Well annotated
GPX.25.selenocysteine	ENSP01230037588	Well annotated
GPX.25.selenocysteine	ENSP01230037589	Downstream
GPX.25.selenocysteine	ENSP01230037590	Well annotated
GPX.25.selenocysteine	ENSP01230037591	Well annotated
GPX.25.selenocysteine	ENSP01230037592	Well annotated
GPX.25.selenocysteine	ENSP01230037593	Downstream
GPX.3.selenocysteine	ENSP01230093205	Well annotated
GPX.3.selenocysteine	ENSP01230093206	Well annotated
GPX.3.selenocysteine	ENSP01230093207	Skipped
GPX.3.selenocysteine	ENSP01230093208	Well annotated
GPX.3.selenocysteine	ENSP01230093209	Well annotated
GPX.3.selenocysteine	ENSP01230093210	Well annotated
GPX.3.selenocysteine	ENSP01230093211	Skipped
GPX.3.selenocysteine	ENSP01230093212	Well annotated
GPX.3.selenocysteine	ENSP01230093213	Well annotated
GPX.3.selenocysteine	ENSP01230093214	Well annotated
GPX.3.selenocysteine	ENSP01230093215	Well annotated
GPX.3.selenocysteine	ENSP01230093216	Upstream
GPX.3.selenocysteine	ENSP01230093217	Well annotated
GPX.3.selenocysteine	ENSP01230093219	Well annotated
GPX.5.selenocysteine	ENSP01230016175	Well annotated
GPX.5.selenocysteine	ENSP01230016177	Well annotated
GPX.5.selenocysteine	ENSP01230016179	Skipped
GPX.5.selenocysteine	ENSP01230016182	Well annotated
MSRB.3.selenocysteine	ENSP01230100989	Well annotated
MSRB.3.selenocysteine	ENSP01230100990	Upstream
MSRB.3.selenocysteine	ENSP01230100991	Out of frame
MSRB.3.selenocysteine	ENSP01230100992	Out of frame
SELENOF.3.selenocysteine	ENSP01230069663	Well annotated
SELENOF.3.selenocysteine	ENSP01230069664	Well annotated
SELENOF.3.selenocysteine	ENSP01230069665	Well annotated
SELENOF.3.selenocysteine	ENSP01230069666	Out of frame
SELENOF.3.selenocysteine	ENSP01230069668	Out of frame
SELENOH.2.selenocysteine	ENSP01230027521	Well annotated
SELENOH.2.selenocysteine	ENSP01230027524	Well annotated
SELENOH.2.selenocysteine	ENSP01230027530	Out of frame
SELENOI.3.selenocysteine	ENSP01230022929	Upstream
SELENOI.3.selenocysteine	ENSP01230022931	Well annotated
SELENOI.3.selenocysteine	ENSP01230022932	Upstream
SELENOK.7.selenocysteine	ENSP01230083019	Well annotated
SELENOK.7.selenocysteine	ENSP01230083020	Out of frame
SELENOM.2.selenocysteine	ENSP01230025930	Well annotated
SELENOM.2.selenocysteine	ENSP01230025931	Well annotated
SELENON.4.selenocysteine	ENSP01230074662	Well annotated
SELENON.4.selenocysteine	ENSP01230074663	Well annotated
SELENON.4.selenocysteine	ENSP01230074664	Well annotated
SELENON.4.selenocysteine	ENSP01230074666	Well annotated
SELENOO.7.selenocysteine	ENSP01230002478	Well annotated
SELENOP.3.selenocysteine	ENSP01230083699	Well annotated
SELENOP.3.selenocysteine	ENSP01230083703	Well annotated
SELENOP.3.selenocysteine	ENSP01230083705	Well annotated
SELENOP.3.selenocysteine	ENSP01230083708	Well annotated
SELENOP.3.selenocysteine	ENSP01230083710	Well annotated
SELENOP.3.selenocysteine	ENSP01230083711	Well annotated
SELENOS.2.selenocysteine	ENSP01230046398	Well annotated
SELENOS.2.selenocysteine	ENSP01230046399	Well annotated
SELENOS.2.selenocysteine	ENSP01230046400	Well annotated
SELENOS.2.selenocysteine	ENSP01230046401	Upstream
SELENOT.5.selenocysteine	ENSP01230080912	Downstream
SELENOT.5.selenocysteine	ENSP01230080914	Downstream
SELENOT.5.selenocysteine	ENSP01230080915	Well annotated
SELENOT.5.selenocysteine	ENSP01230080916	Upstream
SELENOT.5.selenocysteine	ENSP01230080917	Downstream
SELENOW.3.selenocysteine	ENSP01230001164	Well annotated
SELENOW.4.selenocysteine	ENSP01230013320	Well annotated
SELENOW.4.selenocysteine	ENSP01230013322	Well annotated
SELENOW.4.selenocysteine	ENSP01230013324	Well annotated
SELENOW.4.selenocysteine	ENSP01230013325	Well annotated
SEPHS2.1.selenocysteine	ENSP01230092706	Well annotated
TXNRD.10.selenocysteine	ENSP01230082623	Well annotated
TXNRD.10.selenocysteine	ENSP01230082624	Upstream
TXNRD.10.selenocysteine	ENSP01230082625	Well annotated
TXNRD.10.selenocysteine	ENSP01230082626	Well annotated
TXNRD.10.selenocysteine	ENSP01230082627	Upstream
TXNRD.10.selenocysteine	ENSP01230082628	Well annotated
TXNRD.10.selenocysteine	ENSP01230082630	Upstream
TXNRD.10.selenocysteine	ENSP01230082632	Well annotated
TXNRD.10.selenocysteine	ENSP01230082633	Upstream
TXNRD.10.selenocysteine	ENSP01230082634	Well annotated
TXNRD.10.selenocysteine	ENSP01230082635	Upstream
TXNRD.10.selenocysteine	ENSP01230082636	Upstream
TXNRD.10.selenocysteine	ENSP01230082638	Well annotated
TXNRD.10.selenocysteine	ENSP01230082639	Upstream
TXNRD.10.selenocysteine	ENSP01230082640	Upstream
TXNRD.13.selenocysteine	ENSP01230099411	Well annotated
TXNRD.13.selenocysteine	ENSP01230099412	Well annotated
TXNRD.34.selenocysteine	ENSP01230105872	Well annotated
TXNRD.34.selenocysteine	ENSP01230105873	Well annotated
TXNRD.34.selenocysteine	ENSP01230105874	Out of frame
TXNRD.34.selenocysteine	ENSP01230105875	Well annotated
TXNRD.34.selenocysteine	ENSP01230105876	Well annotated
TXNRD.34.selenocysteine	ENSP01230105877	Well annotated
TXNRD.34.selenocysteine	ENSP01230105878	Well annotated
TXNRD.34.selenocysteine	ENSP01230105879	Well annotated
TXNRD.34.selenocysteine	ENSP01230105880	Well annotated
TXNRD.34.selenocysteine	ENSP01230105881	Well annotated
TXNRD.34.selenocysteine	ENSP01230105882	Upstream
TXNRD.34.selenocysteine	ENSP01230105883	Upstream
