transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-MXQ87474.1	Skipped
DIO.3.selenocysteine	cds-MXQ89067.1	Skipped
GPX.16.selenocysteine	cds-MXQ86920.1	Skipped
GPX.2.selenocysteine	cds-MXQ83006.1	Skipped
GPX.22.selenocysteine	cds-MXQ94784.1	Skipped
GPX.4.selenocysteine	cds-MXQ95460.1	Downstream
GPX.7.selenocysteine	cds-MXQ91119.1	Skipped
MSRB.2.selenocysteine	cds-MXQ80836.1	Stop codon
SELENOF.3.selenocysteine	cds-MXQ86085.1	Out of frame
SELENOI.10.selenocysteine	cds-MXQ87739.1	Upstream
SELENOM.1.selenocysteine	cds-MXQ94310.1	Downstream
SELENON.8.selenocysteine	cds-MXQ79506.1	Downstream
SELENON.8.selenocysteine	cds-MXQ79507.1	Stop codon
SELENOO.5.selenocysteine	cds-MXQ95344.1	Out of frame
SELENOP.2.selenocysteine	cds-MXQ79046.1	Skipped
SELENOS.3.selenocysteine	cds-MXQ82727.1	Out of frame
SELENOT.2.selenocysteine	cds-MXQ94618.1	Skipped
SELENOW.5.selenocysteine	cds-MXQ96174.1	Skipped
SELENOW.7.selenocysteine	cds-MXQ92932.1	Downstream
SEPHS2.1.selenocysteine	cds-MXQ89914.1	Skipped
TXNRD.16.selenocysteine	cds-MXQ95679.1	Upstream
TXNRD.34.selenocysteine	cds-MXQ97591.1	Stop codon
TXNRD.5.selenocysteine	cds-MXQ80311.1	Upstream
TXNRD.5.selenocysteine	cds-MXQ80312.1	Stop codon
