transcript_id	transcript_id_ens	Type_annotation
AhpC.5.selenocysteine	ENSVVYP00000010633	Downstream
DIO.1.selenocysteine	ENSVVYP00000019235	Skipped
FrnE.1.selenocysteine	ENSVVYP00000002007	Downstream
GPX.14.selenocysteine	ENSVVYP00000021462	Skipped
GPX.17.selenocysteine	ENSVVYP00000013012	Downstream
GPX.18.selenocysteine	ENSVVYP00000026702	Skipped
GPX.18.selenocysteine	ENSVVYP00000026712	Skipped
GPX.2.selenocysteine	ENSVVYP00000003319	Downstream
GPX.4.selenocysteine	ENSVVYP00000019242	Skipped
GPX.5.selenocysteine	ENSVVYP00000020565	Skipped
GPX.9.selenocysteine	ENSVVYP00000021181	Skipped
GPX.9.selenocysteine	ENSVVYP00000021187	Skipped
MSRB.9.selenocysteine	ENSVVYP00000016270	Stop codon
MsrA.9.selenocysteine	ENSVVYP00000017896	Skipped
SELENOF.2.selenocysteine	ENSVVYP00000023810	Stop codon
SELENOJ.2.selenocysteine	ENSVVYP00000019953	Skipped
SELENOJ.2.selenocysteine	ENSVVYP00000019959	Stop codon
SELENOL.1.selenocysteine	ENSVVYP00000007081	Stop codon
SELENOM.1.selenocysteine	ENSVVYP00000008404	Downstream
SELENON.2.selenocysteine	ENSVVYP00000017661	Stop codon
SELENON.2.selenocysteine	ENSVVYP00000017670	Skipped
SELENON.7.selenocysteine	ENSVVYP00000004676	Skipped
SELENON.7.selenocysteine	ENSVVYP00000004692	Stop codon
SELENON.7.selenocysteine	ENSVVYP00000004701	Stop codon
SELENON.7.selenocysteine	ENSVVYP00000004706	Upstream
SELENOP.3.selenocysteine	ENSVVYP00000030180	Skipped
SELENOT.3.selenocysteine	ENSVVYP00000004820	Downstream
SELENOT.3.selenocysteine	ENSVVYP00000004826	Downstream
SELENOU.4.selenocysteine	ENSVVYP00000016782	Downstream
SEPHS2.3.selenocysteine	ENSVVYP00000031998	Skipped
SEPHS2.3.selenocysteine	ENSVVYP00000032007	Downstream
TXNRD.134.selenocysteine	ENSVVYP00000008449	Stop codon
TXNRD.134.selenocysteine	ENSVVYP00000008456	Stop codon
TXNRD.134.selenocysteine	ENSVVYP00000012159	Upstream
