transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSZYZP00000040869	Downstream
DIO.2.selenocysteine	ENSZYZP00000008665	Stop codon
DIO.3.selenocysteine	ENSZYZP00000055625	Downstream
GPX.14.selenocysteine	ENSZYZP00000054813	Skipped
GPX.16.selenocysteine	ENSZYZP00000040491	Downstream
GPX.16.selenocysteine	ENSZYZP00000041007	Stop codon
GPX.2.selenocysteine	ENSZYZP00000018582	Downstream
GPX.4.selenocysteine	ENSZYZP00000030902	Skipped
GPX.6.selenocysteine	ENSZYZP00000056701	Downstream
GPX.6.selenocysteine	ENSZYZP00000056702	Stop codon
GPX.8.selenocysteine	ENSZYZP00000030653	Skipped
MSRB.1.selenocysteine	ENSZYZP00000019022	Stop codon
MSRB.7.selenocysteine	ENSZYZP00000015921	Stop codon
SELENOE.5.selenocysteine	ENSZYZP00000050375	Skipped
SELENOF.1.selenocysteine	ENSZYZP00000037668	Skipped
SELENOI.5.selenocysteine	ENSZYZP00000004380	Stop codon
SELENOI.5.selenocysteine	ENSZYZP00000004381	Stop codon
SELENOI.5.selenocysteine	ENSZYZP00000004382	Stop codon
SELENOI.5.selenocysteine	ENSZYZP00000004383	Stop codon
SELENOM.2.selenocysteine	ENSZYZP00000002946	Downstream
SELENON.5.selenocysteine	ENSZYZP00000011029	Downstream
SELENON.5.selenocysteine	ENSZYZP00000011030	Upstream
SELENOO.8.selenocysteine	ENSZYZP00000008154	Stop codon
SELENOO.8.selenocysteine	ENSZYZP00000008186	Stop codon
SELENOO.8.selenocysteine	ENSZYZP00000008195	Stop codon
SELENOP.3.selenocysteine	ENSZYZP00000028006	Downstream
SELENOS.3.selenocysteine	ENSZYZP00000004433	Stop codon
SELENOT.3.selenocysteine	ENSZYZP00000018045	Downstream
SELENOT.9.selenocysteine	ENSZYZP00000044019	Downstream
SELENOU.6.selenocysteine	ENSZYZP00000040592	Downstream
SELENOU.6.selenocysteine	ENSZYZP00000040595	Skipped
SELENOU.7.selenocysteine	ENSZYZP00000040593	Downstream
SELENOU.7.selenocysteine	ENSZYZP00000040594	Downstream
SELENOU.7.selenocysteine	ENSZYZP00000040595	Skipped
SELENOU.9.selenocysteine	ENSZYZP00000047354	Downstream
SELENOU.9.selenocysteine	ENSZYZP00000047355	Stop codon
SELENOW.3.selenocysteine	ENSZYZP00000053393	Downstream
SEPHS2.10.selenocysteine	ENSZYZP00000018071	Skipped
SEPHS2.10.selenocysteine	ENSZYZP00000018072	Downstream
TXNRD.15.selenocysteine	ENSZYZP00000017381	Stop codon
TXNRD.15.selenocysteine	ENSZYZP00000018206	Stop codon
TXNRD.15.selenocysteine	ENSZYZP00000018260	Stop codon
TXNRD.15.selenocysteine	ENSZYZP00000018261	Stop codon
TXNRD.15.selenocysteine	ENSZYZP00000018262	Stop codon
TXNRD.15.selenocysteine	ENSZYZP00000018263	Stop codon
TXNRD.15.selenocysteine	ENSZYZP00000018264	Stop codon
TXNRD.15.selenocysteine	ENSZYZP00000018265	Stop codon
TXNRD.15.selenocysteine	ENSZYZP00000018273	Stop codon
TXNRD.15.selenocysteine	ENSZYZP00000018283	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017678	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017683	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017684	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017690	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017691	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017692	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017703	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017704	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017734	Stop codon
TXNRD.8.selenocysteine	ENSZYZP00000017735	Stop codon
