transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSEEYP00000018372	Downstream
DIO.3.selenocysteine	ENSEEYP00000018410	Stop codon
DIO.5.selenocysteine	ENSEEYP00000003277	Downstream
DIO.5.selenocysteine	ENSEEYP00000003284	Upstream
GPX.1.selenocysteine	ENSEEYP00000003353	Skipped
GPX.1.selenocysteine	ENSEEYP00000003357	Skipped
GPX.3.selenocysteine	ENSEEYP00000016536	Out of frame
GPX.3.selenocysteine	ENSEEYP00000016539	Skipped
GPX.4.selenocysteine	ENSEEYP00000019083	Stop codon
GPX.4.selenocysteine	ENSEEYP00000019105	Downstream
GPX.5.selenocysteine	ENSEEYP00000003313	Skipped
SELENOF.1.selenocysteine	ENSEEYP00000002111	Upstream
SELENOI.3.selenocysteine	ENSEEYP00000007251	Out of frame
SELENOK.2.selenocysteine	ENSEEYP00000001804	Stop codon
SELENOM.2.selenocysteine	ENSEEYP00000014060	Downstream
SELENON.2.selenocysteine	ENSEEYP00000019981	Skipped
SELENOO.3.selenocysteine	ENSEEYP00000012418	Stop codon
SELENOP.1.selenocysteine	ENSEEYP00000002006	Out of frame
SELENOP.3.selenocysteine	ENSEEYP00000021195	Downstream
SELENOS.5.selenocysteine	ENSEEYP00000000583	Stop codon
SELENOT.2.selenocysteine	ENSEEYP00000008190	Out of frame
SELENOT.2.selenocysteine	ENSEEYP00000008196	Out of frame
SELENOU.7.selenocysteine	ENSEEYP00000003962	Skipped
SEPHS2.5.selenocysteine	ENSEEYP00000009086	Downstream
SEPHS2.5.selenocysteine	ENSEEYP00000009095	Downstream
SEPHS2.5.selenocysteine	ENSEEYP00000009101	Downstream
TXNRD.21.selenocysteine	ENSEEYP00000024394	Stop codon
TXNRD.37.selenocysteine	ENSEEYP00000008819	Stop codon
TXNRD.37.selenocysteine	ENSEEYP00000008830	Stop codon
TXNRD.9.selenocysteine	ENSEEYP00000003001	Stop codon
