transcript_id	transcript_id_ens	Type_annotation
AhpC.13.selenocysteine	cds-OEU09483.1	Skipped
EhSEP2.12.selenocysteine	cds-OEU08814.1	Skipped
EhSEP2.15.selenocysteine	cds-OEU09386.1	Downstream
EhSEP2.24.selenocysteine	cds-OEU06962.1	Skipped
FrnE.1.selenocysteine	cds-OEU20022.1	Downstream
FrnE.3.selenocysteine	cds-OEU18545.1	Downstream
GPX.3.selenocysteine	cds-OEU12111.1	Stop codon
GPX.5.selenocysteine	cds-OEU17465.1	Skipped
GPX.6.selenocysteine	cds-OEU17543.1	Downstream
GPX.9.selenocysteine	cds-FRACYDRAFT_287501	Well annotated
MsrA.9.selenocysteine	cds-OEU09028.1	Downstream
SELENOH.1.selenocysteine	cds-OEU13815.1	Stop codon
SELENOO.3.selenocysteine	cds-OEU19395.1	Stop codon
SELENOT.3.selenocysteine	cds-OEU14020.1	Downstream
SELENOU.2.selenocysteine	cds-OEU14793.1	Skipped
SEPHS2.2.selenocysteine	cds-OEU09995.1	Downstream
TXNRD.1.selenocysteine	cds-OEU16000.1	Stop codon
TXNRD.1.selenocysteine	cds-OEU16001.1	Stop codon
