transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSBBRP00005008298	Stop codon
DIO.1.selenocysteine	ENSBBRP00005008301	Downstream
DIO.3.selenocysteine	ENSBBRP00005009977	Stop codon
DIO.3.selenocysteine	ENSBBRP00005009978	Downstream
DIO.5.selenocysteine	ENSBBRP00005010202	Downstream
DIO.5.selenocysteine	ENSBBRP00005010204	Skipped
GPX.11.selenocysteine	ENSBBRP00005033066	Downstream
GPX.11.selenocysteine	ENSBBRP00005033067	Out of frame
GPX.11.selenocysteine	ENSBBRP00005033069	Downstream
GPX.11.selenocysteine	ENSBBRP00005033071	Downstream
GPX.15.selenocysteine	ENSBBRP00005018555	Skipped
GPX.15.selenocysteine	ENSBBRP00005018559	Skipped
GPX.15.selenocysteine	ENSBBRP00005018569	Skipped
GPX.15.selenocysteine	ENSBBRP00005018578	Downstream
GPX.15.selenocysteine	ENSBBRP00005018580	Downstream
GPX.15.selenocysteine	ENSBBRP00005018582	Downstream
GPX.2.selenocysteine	ENSBBRP00005035342	Skipped
GPX.4.selenocysteine	ENSBBRP00005040620	Downstream
GPX.6.selenocysteine	ENSBBRP00005027634	Downstream
GPX.6.selenocysteine	ENSBBRP00005027635	Stop codon
GPX.8.selenocysteine	ENSBBRP00005039782	Skipped
MSRB.1.selenocysteine	ENSBBRP00005017609	Stop codon
MSRB.2.selenocysteine	ENSBBRP00005017612	Stop codon
MSRB.5.selenocysteine	ENSBBRP00005032609	Stop codon
SELENOF.3.selenocysteine	ENSBBRP00005027680	Skipped
SELENOJ.1.selenocysteine	ENSBBRP00005037397	Stop codon
SELENOM.2.selenocysteine	ENSBBRP00005038437	Downstream
SELENON.10.selenocysteine	ENSBBRP00005012060	Skipped
SELENON.10.selenocysteine	ENSBBRP00005012064	Skipped
SELENOO.2.selenocysteine	ENSBBRP00005003069	Stop codon
SELENOO.2.selenocysteine	ENSBBRP00005003070	Stop codon
SELENOP.4.selenocysteine	ENSBBRP00005004368	Downstream
SELENOS.2.selenocysteine	ENSBBRP00005019443	Stop codon
SELENOT.3.selenocysteine	ENSBBRP00005029183	Downstream
SELENOU.3.selenocysteine	ENSBBRP00005010657	Skipped
SELENOU.4.selenocysteine	ENSBBRP00005010649	Stop codon
SELENOU.4.selenocysteine	ENSBBRP00005010654	Downstream
SELENOU.4.selenocysteine	ENSBBRP00005010656	Downstream
SELENOU.7.selenocysteine	ENSBBRP00005035728	Downstream
SELENOU.7.selenocysteine	ENSBBRP00005035729	Downstream
SEPHS2.7.selenocysteine	ENSBBRP00005011336	Downstream
SEPHS2.7.selenocysteine	ENSBBRP00005011337	Downstream
TXNRD.9.selenocysteine	ENSBBRP00005013853	Skipped
TXNRD.9.selenocysteine	ENSBBRP00005013947	Upstream
TXNRD.9.selenocysteine	ENSBBRP00005013996	Stop codon
TXNRD.9.selenocysteine	ENSBBRP00005013997	Skipped
TXNRD.9.selenocysteine	ENSBBRP00005014013	Stop codon
TXNRD.9.selenocysteine	ENSBBRP00005014040	Skipped
TXNRD.9.selenocysteine	ENSBBRP00005014041	Skipped
TXNRD.9.selenocysteine	ENSBBRP00005014046	Stop codon
TXNRD.9.selenocysteine	ENSBBRP00005014051	Stop codon
TXNRD.9.selenocysteine	ENSBBRP00005014085	Stop codon
