transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	ENSNWLP00005052864	Downstream
DIO.4.selenocysteine	ENSNWLP00005003162	Skipped
DIO.5.selenocysteine	ENSNWLP00005029106	Downstream
DIO.5.selenocysteine	ENSNWLP00005029108	Skipped
GPX.1.selenocysteine	ENSNWLP00005049814	Downstream
GPX.10.selenocysteine	ENSNWLP00005019464	Downstream
GPX.13.selenocysteine	ENSNWLP00005002284	Downstream
GPX.16.selenocysteine	ENSNWLP00005012265	Upstream
GPX.16.selenocysteine	ENSNWLP00005012272	Downstream
GPX.2.selenocysteine	ENSNWLP00005053810	Downstream
GPX.2.selenocysteine	ENSNWLP00005053811	Stop codon
GPX.21.selenocysteine	ENSNWLP00005049888	Downstream
GPX.5.selenocysteine	ENSNWLP00005053808	Downstream
GPX.5.selenocysteine	ENSNWLP00005053809	Stop codon
GPX.8.selenocysteine	ENSNWLP00005036629	Skipped
MSRB.4.selenocysteine	ENSNWLP00005008486	Stop codon
MSRB.7.selenocysteine	ENSNWLP00005002100	Stop codon
SELENOE.5.selenocysteine	ENSNWLP00005014673	Downstream
SELENOF.1.selenocysteine	ENSNWLP00005038575	Skipped
SELENOI.3.selenocysteine	ENSNWLP00005033029	Stop codon
SELENOJ.5.selenocysteine	ENSNWLP00005009095	Skipped
SELENOK.1.selenocysteine	ENSNWLP00005048291	Upstream
SELENON.8.selenocysteine	ENSNWLP00005042450	Skipped
SELENOO.10.selenocysteine	ENSNWLP00005024479	Upstream
SELENOO.10.selenocysteine	ENSNWLP00005024488	Stop codon
SELENOO.4.selenocysteine	ENSNWLP00005028509	Stop codon
SELENOP.1.selenocysteine	ENSNWLP00005046147	Downstream
SELENOS.1.selenocysteine	ENSNWLP00005013187	Stop codon
SELENOT.2.selenocysteine	ENSNWLP00005040772	Downstream
SELENOT.5.selenocysteine	ENSNWLP00005005877	Upstream
SELENOU.12.selenocysteine	ENSNWLP00005003795	Downstream
SELENOU.12.selenocysteine	ENSNWLP00005003797	Downstream
SELENOU.5.selenocysteine	ENSNWLP00005047768	Downstream
SELENOU.5.selenocysteine	ENSNWLP00005047771	Downstream
SELENOU.5.selenocysteine	ENSNWLP00005047774	Stop codon
SELENOU.8.selenocysteine	ENSNWLP00005047760	Skipped
SEPHS2.10.selenocysteine	ENSNWLP00005040976	Skipped
SEPHS2.10.selenocysteine	ENSNWLP00005040978	Downstream
TXNRD.10.selenocysteine	ENSNWLP00005015212	Upstream
TXNRD.10.selenocysteine	ENSNWLP00005015280	Upstream
TXNRD.10.selenocysteine	ENSNWLP00005015329	Upstream
TXNRD.10.selenocysteine	ENSNWLP00005015336	Upstream
TXNRD.10.selenocysteine	ENSNWLP00005015340	Upstream
TXNRD.10.selenocysteine	ENSNWLP00005015374	Upstream
TXNRD.10.selenocysteine	ENSNWLP00005015377	Upstream
TXNRD.10.selenocysteine	ENSNWLP00005015383	Upstream
TXNRD.10.selenocysteine	ENSNWLP00005015385	Upstream
TXNRD.10.selenocysteine	ENSNWLP00005015398	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038185	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038193	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038216	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038221	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038232	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038254	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038261	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038267	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038270	Stop codon
TXNRD.13.selenocysteine	ENSNWLP00005038276	Stop codon
