transcript_id	transcript_id_ens	Type_annotation
AhpC.6.selenocysteine	cds-CAL6435325.1	Downstream
AhpC.6.selenocysteine	cds-CAL6435343.1	Stop codon
EhSEP2.1.selenocysteine	cds-CAL6337200.1	Downstream
FrnE.1.selenocysteine	cds-CAL6425968.1	Downstream
FrnE.2.selenocysteine	cds-CAL6421579.1	Downstream
GPX.2.selenocysteine	cds-CAL6408418.1	Skipped
GPX.3.selenocysteine	cds-CAL6278328.1	Skipped
GPX.4.selenocysteine	cds-CAL6434107.1	Skipped
MSP.1.selenocysteine	cds-CAL6337477.1	Downstream
MsrA.3.selenocysteine	cds-CAL6276211.1	Downstream
MsrA.4.selenocysteine	cds-CAL6418812.1	Downstream
Ostsp1.1.selenocysteine	cds-CAL6404203.1	Stop codon
Ostsp3.2.selenocysteine	cds-CAL6350080.1	Downstream
Ostsp3.2.selenocysteine	cds-CAL6350089.1	Stop codon
SELENOF.1.selenocysteine	cds-CAL6282721.1	Stop codon
SELENOF.1.selenocysteine	cds-CAL6282746.1	Downstream
SELENOM.1.selenocysteine	cds-CAL6304545.1	Downstream
SELENOT.4.selenocysteine	cds-CAL6417532.1	Skipped
SELENOU.1.selenocysteine	cds-CAL6316073.1	Downstream
SELENOU.4.selenocysteine	cds-CAL6276863.1	Downstream
SELENOW.1.selenocysteine	cds-CAL6275412.1	Downstream
SELENOW.9.selenocysteine	cds-CAL6317949.1	Downstream
TXNRD.1.selenocysteine	cds-CAL6344296.1	Stop codon
