transcript_id	transcript_id_ens	Type_annotation
AhpC.3.selenocysteine	cds-XP_002178828.1	Skipped
AhpC.5.selenocysteine	cds-XP_002186129.1	Out of frame
FrnE.3.selenocysteine	cds-XP_002181028.1	Skipped
GPX.1.selenocysteine	cds-XP_002183098.1	Skipped
GPX.3.selenocysteine	cds-XP_002185895.1	Skipped
Ostsp3.1.selenocysteine	cds-XP_002177437.1	Stop codon
SELENOM.1.selenocysteine	cds-XP_002176171.1	Downstream
SELENOM.2.selenocysteine	cds-XP_002179955.1	Downstream
SELENOO.1.selenocysteine	cds-XP_002182580.1	Stop codon
SELENOO.2.selenocysteine	cds-XP_002183274.1	Stop codon
SELENOT.5.selenocysteine	cds-XP_002182894.1	Downstream
SELENOU.3.selenocysteine	cds-XP_002183559.1	Skipped
TXNRD.1.selenocysteine	cds-XP_002181543.1	Stop codon
