transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP03840037474	Downstream
DIO.1.selenocysteine	ENSP05065093105	Well annotated
DIO.3.selenocysteine	ENSP03840045768	Upstream
DIO.3.selenocysteine	ENSP05065006828	Well annotated
DIO.3.selenocysteine	ENSP05065006829	Well annotated
DIO.3.selenocysteine	ENSP05065006832	Out of frame
DIO.3.selenocysteine	ENSP05065006834	Upstream
DIO.3.selenocysteine	ENSP05065006835	Upstream
DIO.3.selenocysteine	ENSP05065006836	Upstream
DIO.4.selenocysteine	ENSP03840080057	Out of frame
DIO.4.selenocysteine	ENSP03840080058	Out of frame
DIO.4.selenocysteine	ENSP03840080059	Upstream
DIO.4.selenocysteine	ENSP03840080060	Out of frame
DIO.4.selenocysteine	ENSP03840080066	Upstream
DIO.4.selenocysteine	ENSP05065042721	Well annotated
DIO.4.selenocysteine	ENSP05065042722	Well annotated
DIO.4.selenocysteine	ENSP05065042723	Well annotated
DIO.4.selenocysteine	ENSP05065042728	Upstream
DIO.4.selenocysteine	ENSP05065042729	Well annotated
DIO.4.selenocysteine	ENSP05065042731	Downstream
DIO.4.selenocysteine	ENSP05065042732	Skipped
GPX.14.selenocysteine	ENSP03840103408	Upstream
GPX.14.selenocysteine	ENSP05065086468	Well annotated
GPX.14.selenocysteine	ENSP05065086469	Well annotated
GPX.14.selenocysteine	ENSP05065086471	Upstream
GPX.14.selenocysteine	ENSP05065086472	Out of frame
GPX.16.selenocysteine	ENSP05065009783	Well annotated
GPX.16.selenocysteine	ENSP05065009784	Well annotated
GPX.2.selenocysteine	ENSP03840097332	Well annotated
GPX.2.selenocysteine	ENSP03840097333	Well annotated
GPX.2.selenocysteine	ENSP03840097334	Skipped
GPX.2.selenocysteine	ENSP03840097339	Well annotated
GPX.2.selenocysteine	ENSP03840097341	Well annotated
GPX.2.selenocysteine	ENSP03840097342	Well annotated
GPX.2.selenocysteine	ENSP03840097343	Upstream
GPX.2.selenocysteine	ENSP03840097344	Well annotated
GPX.2.selenocysteine	ENSP03840097345	Well annotated
GPX.2.selenocysteine	ENSP05065066682	Well annotated
GPX.2.selenocysteine	ENSP05065066683	Well annotated
GPX.2.selenocysteine	ENSP05065066684	Skipped
GPX.2.selenocysteine	ENSP05065066685	Well annotated
GPX.2.selenocysteine	ENSP05065066686	Well annotated
GPX.24.selenocysteine	ENSP03840005157	Well annotated
GPX.24.selenocysteine	ENSP03840005163	Well annotated
GPX.24.selenocysteine	ENSP03840005175	Downstream
GPX.24.selenocysteine	ENSP03840005183	Downstream
GPX.24.selenocysteine	ENSP05065100782	Well annotated
GPX.24.selenocysteine	ENSP05065100783	Well annotated
GPX.24.selenocysteine	ENSP05065100784	Well annotated
