transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAK9957011.1	Stop codon
DIO.1.selenocysteine	cds-KAK9957012.1	Downstream
DIO.2.selenocysteine	cds-KAK9960319.1	Skipped
DIO.3.selenocysteine	cds-KAK9959518.1	Downstream
DIO.3.selenocysteine	cds-KAK9959519.1	Stop codon
DIO.7.selenocysteine	cds-KAK9970848.1	Skipped
GPX.14.selenocysteine	cds-KAK9963375.1	Skipped
GPX.16.selenocysteine	cds-KAK9980306.1	Downstream
GPX.16.selenocysteine	cds-KAK9980307.1	Stop codon
GPX.17.selenocysteine	cds-KAK9965931.1	Downstream
GPX.2.selenocysteine	cds-KAK9966761.1	Downstream
GPX.4.selenocysteine	cds-KAK9973576.1	Downstream
GPX.7.selenocysteine	cds-KAK9967586.1	Downstream
GPX.7.selenocysteine	cds-KAK9967587.1	Downstream
MSRB.10.selenocysteine	cds-KAK9978335.1	Stop codon
MSRB.4.selenocysteine	cds-KAK9965474.1	Stop codon
SELENOE.5.selenocysteine	cds-KAK9975235.1	Downstream
SELENOF.1.selenocysteine	cds-KAK9979513.1	Stop codon
SELENOI.2.selenocysteine	cds-KAK9954086.1	Stop codon
SELENOJ.3.selenocysteine	cds-KAK9979586.1	Stop codon
SELENOK.1.selenocysteine	cds-KAK9970102.1	Stop codon
SELENOL.5.selenocysteine	cds-KAK9956251.1	Skipped
SELENON.5.selenocysteine	cds-KAK9959717.1	Downstream
SELENON.5.selenocysteine	cds-KAK9959718.1	Stop codon
SELENOO.16.selenocysteine	cds-KAK9975636.1	Stop codon
SELENOO.3.selenocysteine	cds-KAK9958839.1	Stop codon
SELENOP.2.selenocysteine	cds-KAK9970663.1	Downstream
SELENOP.3.selenocysteine	cds-KAK9979389.1	Downstream
SELENOS.2.selenocysteine	cds-KAK9971409.1	Stop codon
SELENOS.2.selenocysteine	cds-KAK9971410.1	Stop codon
SELENOT.1.selenocysteine	cds-KAK9958436.1	Skipped
SELENOT.10.selenocysteine	cds-KAK9979803.1	Skipped
SELENOT.5.selenocysteine	cds-KAK9963621.1	Skipped
SELENOU.12.selenocysteine	cds-KAK9966006.1	Skipped
SELENOU.4.selenocysteine	cds-KAK9966006.1	Skipped
SELENOU.7.selenocysteine	cds-KAK9964761.1	Stop codon
SELENOU.7.selenocysteine	cds-KAK9964762.1	Downstream
SELENOW.1.selenocysteine	cds-KAK9977456.1	Downstream
SELENOW.3.selenocysteine	cds-KAK9977457.1	Downstream
SELENOW.4.selenocysteine	cds-KAK9974073.1	Skipped
SEPHS2.10.selenocysteine	cds-KAK9954415.1	Downstream
TXNRD.13.selenocysteine	cds-KAK9975170.1	Stop codon
TXNRD.5.selenocysteine	cds-KAK9973104.1	Stop codon
