transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NWY49402.1	Downstream
DIO.3.selenocysteine	cds-NWY55301.1	Downstream
DIO.5.selenocysteine	cds-NWY56773.1	Stop codon
GPX.1.selenocysteine	cds-NWY53318.1	Downstream
GPX.10.selenocysteine	cds-NWY59908.1	Skipped
SELENOF.3.selenocysteine	cds-CHIMIN_R14867	Well annotated
SELENOI.5.selenocysteine	cds-CHIMIN_R08742	Out of frame
SELENOK.2.selenocysteine	cds-NWY56119.1	Stop codon
SELENON.5.selenocysteine	cds-NWY52230.1	Skipped
SELENOO.3.selenocysteine	cds-NWY63073.1	Stop codon
SELENOP.1.selenocysteine	cds-NWY59973.1	Downstream
SELENOP.4.selenocysteine	cds-NWY49774.1	Downstream
SELENOS.5.selenocysteine	cds-NWY54713.1	Upstream
SELENOT.3.selenocysteine	cds-NWY52726.1	Downstream
SELENOU.6.selenocysteine	cds-NWY52636.1	Downstream
SELENOU.6.selenocysteine	cds-NWY52648.1	Stop codon
TXNRD.16.selenocysteine	cds-NWY58586.1	Upstream
TXNRD.22.selenocysteine	cds-NWY52903.1	Stop codon
TXNRD.9.selenocysteine	cds-NWY53026.1	Stop codon
