transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_017310884.1	Well annotated
DIO.2.selenocysteine	cds-XP_017332739.1	Well annotated
GPX.12.selenocysteine	cds-XP_017340897.1	Well annotated
GPX.15.selenocysteine	cds-NP_001187617.1	Downstream
GPX.2.selenocysteine	cds-XP_017306443.1	Well annotated
GPX.20.selenocysteine	cds-XP_017338334.2	Well annotated
GPX.20.selenocysteine	cds-XP_017338335.1	Downstream
GPX.4.selenocysteine	cds-NP_001187670.2	Well annotated
GPX.5.selenocysteine	cds-XP_017331092.1	Well annotated
MSRB.4.selenocysteine	cds-NP_001187498.2	Well annotated
MSRB.6.selenocysteine	cds-XP_047015388.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_017307634.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_017346835.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_017329274.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_017329275.1	Well annotated
SELENOI.5.selenocysteine	cds-XP_017342366.2	Well annotated
SELENOI.5.selenocysteine	cds-XP_047016452.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_017322348.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_017307485.1	Well annotated
SELENON.3.selenocysteine	cds-XP_017331239.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_017322217.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_017322416.2	Well annotated
SELENOP.5.selenocysteine	cds-XP_017351845.1	Well annotated
SELENOS.2.selenocysteine	cds-XP_017333731.1	Stop codon
SELENOT.10.selenocysteine	cds-XP_017327436.1	Well annotated
SELENOT.2.selenocysteine	cds-XP_047008433.2	Well annotated
SELENOT.5.selenocysteine	cds-XP_017330520.1	Well annotated
SELENOU.10.selenocysteine	cds-NP_001188199.2	Well annotated
SELENOW.2.selenocysteine	cds-XP_017349058.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_017349067.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_017315837.1	Well annotated
SEPHS2.10.selenocysteine	cds-XP_017342620.2	Well annotated
TXNRD.1.selenocysteine	cds-XP_017335522.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_017307497.1	Stop codon
