transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSTSTP00005024206	Downstream
DIO.2.selenocysteine	ENSTSTP00005012236	Out of frame
DIO.4.selenocysteine	ENSTSTP00005015182	Skipped
DIO.4.selenocysteine	ENSTSTP00005015189	Skipped
DIO.4.selenocysteine	ENSTSTP00005015211	Stop codon
DIO.4.selenocysteine	ENSTSTP00005015226	Upstream
GPX.12.selenocysteine	ENSTSTP00005019017	Skipped
GPX.14.selenocysteine	ENSTSTP00005024935	Skipped
GPX.2.selenocysteine	ENSTSTP00005028453	Downstream
GPX.24.selenocysteine	ENSTSTP00005003856	Skipped
GPX.4.selenocysteine	ENSTSTP00005003270	Downstream
MSRB.1.selenocysteine	ENSTSTP00005006349	Stop codon
SELENOF.3.selenocysteine	ENSTSTP00005005681	Skipped
SELENOF.3.selenocysteine	ENSTSTP00005005685	Stop codon
SELENOH.1.selenocysteine	ENSTSTP00005006768	Downstream
SELENOI.8.selenocysteine	ENSTSTP00005011463	Stop codon
SELENOK.2.selenocysteine	ENSTSTP00005029329	Stop codon
SELENOM.1.selenocysteine	ENSTSTP00005010698	Skipped
SELENON.4.selenocysteine	ENSTSTP00005019187	Stop codon
SELENON.4.selenocysteine	ENSTSTP00005019220	Downstream
SELENOO.2.selenocysteine	ENSTSTP00005018967	Stop codon
SELENOP.2.selenocysteine	ENSTSTP00005013429	Skipped
SELENOS.3.selenocysteine	ENSTSTP00005016894	Stop codon
SELENOS.3.selenocysteine	ENSTSTP00005016900	Stop codon
SELENOT.3.selenocysteine	ENSTSTP00005004528	Skipped
SELENOW.6.selenocysteine	ENSTSTP00005023413	Downstream
SEPHS2.1.selenocysteine	ENSTSTP00005028552	Downstream
SEPHS2.1.selenocysteine	ENSTSTP00005028557	Stop codon
TXNRD.12.selenocysteine	ENSTSTP00005019965	Stop codon
TXNRD.12.selenocysteine	ENSTSTP00005019992	Stop codon
TXNRD.12.selenocysteine	ENSTSTP00005020014	Stop codon
TXNRD.16.selenocysteine	ENSTSTP00005007719	Stop codon
TXNRD.16.selenocysteine	ENSTSTP00005007736	Stop codon
TXNRD.34.selenocysteine	ENSTSTP00005023417	Stop codon
TXNRD.34.selenocysteine	ENSTSTP00005023459	Upstream
