transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSMQP00000019777	Downstream
DIO.3.selenocysteine	ENSSMQP00000013038	Stop codon
DIO.5.selenocysteine	ENSSMQP00000004238	Downstream
DIO.5.selenocysteine	ENSSMQP00000004249	Upstream
GPX.1.selenocysteine	ENSSMQP00000014992	Skipped
GPX.1.selenocysteine	ENSSMQP00000015001	Skipped
GPX.3.selenocysteine	ENSSMQP00000015679	Out of frame
GPX.3.selenocysteine	ENSSMQP00000015689	Skipped
GPX.3.selenocysteine	ENSSMQP00000015695	Skipped
GPX.5.selenocysteine	ENSSMQP00000006074	Skipped
GPX.5.selenocysteine	ENSSMQP00000006078	Skipped
GPX.9.selenocysteine	ENSSMQP00000015686	Stop codon
SELENOF.3.selenocysteine	ENSSMQP00000003917	Skipped
SELENOI.7.selenocysteine	ENSSMQP00000000027	Stop codon
SELENOK.2.selenocysteine	ENSSMQP00000003640	Stop codon
SELENON.1.selenocysteine	ENSSMQP00000014768	Skipped
SELENOO.8.selenocysteine	ENSSMQP00000001645	Stop codon
SELENOS.4.selenocysteine	ENSSMQP00000019685	Stop codon
SELENOT.2.selenocysteine	ENSSMQP00000000466	Downstream
SELENOU.2.selenocysteine	ENSSMQP00000019627	Stop codon
SEPHS2.5.selenocysteine	ENSSMQP00000019972	Downstream
SEPHS2.5.selenocysteine	ENSSMQP00000019976	Out of frame
TXNRD.14.selenocysteine	ENSSMQP00000006055	Upstream
TXNRD.14.selenocysteine	ENSSMQP00000006068	Upstream
TXNRD.14.selenocysteine	ENSSMQP00000006072	Upstream
TXNRD.14.selenocysteine	ENSSMQP00000006081	Upstream
TXNRD.14.selenocysteine	ENSSMQP00000006091	Upstream
TXNRD.14.selenocysteine	ENSSMQP00000006096	Upstream
TXNRD.14.selenocysteine	ENSSMQP00000006102	Upstream
TXNRD.14.selenocysteine	ENSSMQP00000006111	Upstream
TXNRD.29.selenocysteine	ENSSMQP00000021520	Stop codon
TXNRD.29.selenocysteine	ENSSMQP00000021522	Stop codon
TXNRD.4.selenocysteine	ENSSMQP00000009771	Stop codon
