transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSELKP00000007648	Downstream
DIO.3.selenocysteine	ENSELKP00000002263	Out of frame
DIO.8.selenocysteine	ENSELKP00000009251	Stop codon
DIO.8.selenocysteine	ENSELKP00000009262	Upstream
GPX.16.selenocysteine	ENSELKP00000028883	Downstream
GPX.2.selenocysteine	ENSELKP00000020214	Downstream
GPX.24.selenocysteine	ENSELKP00000012669	Skipped
GPX.4.selenocysteine	ENSELKP00000006499	Downstream
GPX.9.selenocysteine	ENSELKP00000028455	Stop codon
MSRB.1.selenocysteine	ENSELKP00000018238	Stop codon
SELENOF.3.selenocysteine	ENSELKP00000001995	Skipped
SELENOH.2.selenocysteine	ENSELKP00000009239	Skipped
SELENOI.2.selenocysteine	ENSELKP00000016019	Stop codon
SELENOK.3.selenocysteine	ENSELKP00000012252	Stop codon
SELENOM.2.selenocysteine	ENSELKP00000009926	Skipped
SELENON.8.selenocysteine	ENSELKP00000013993	Out of frame
SELENON.8.selenocysteine	ENSELKP00000014021	Downstream
SELENOO.3.selenocysteine	ENSELKP00000012570	Stop codon
SELENOS.2.selenocysteine	ENSELKP00000021593	Stop codon
SELENOT.2.selenocysteine	ENSELKP00000000214	Skipped
SELENOW.3.selenocysteine	ENSELKP00000022870	Downstream
SELENOW.4.selenocysteine	ENSELKP00000027041	Downstream
SEPHS2.1.selenocysteine	ENSELKP00000027393	Downstream
TXNRD.12.selenocysteine	ENSELKP00000000978	Stop codon
TXNRD.12.selenocysteine	ENSELKP00000001044	Stop codon
TXNRD.22.selenocysteine	ENSELKP00000015019	Upstream
TXNRD.22.selenocysteine	ENSELKP00000015035	Upstream
TXNRD.22.selenocysteine	ENSELKP00000015066	Upstream
TXNRD.22.selenocysteine	ENSELKP00000015084	Upstream
TXNRD.22.selenocysteine	ENSELKP00000015159	Stop codon
TXNRD.31.selenocysteine	ENSELKP00000003113	Stop codon
TXNRD.31.selenocysteine	ENSELKP00000003128	Stop codon
TXNRD.31.selenocysteine	ENSELKP00000003203	Upstream
TXNRD.31.selenocysteine	ENSELKP00000003216	Stop codon
