transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_079904441.1	Well annotated
DIO.13.selenocysteine	cds-XP_079888412.1	Well annotated
DIO.2.selenocysteine	cds-XP_079898055.1	Well annotated
DIO.4.selenocysteine	cds-XP_079898985.1	Well annotated
GPX.1.selenocysteine	cds-XP_079883039.1	Well annotated
GPX.10.selenocysteine	cds-XP_079891126.1	Well annotated
GPX.16.selenocysteine	cds-XP_079891552.1	Well annotated
GPX.16.selenocysteine	cds-XP_079891553.1	Well annotated
GPX.17.selenocysteine	cds-XP_079904885.1	Well annotated
GPX.22.selenocysteine	cds-XP_079889887.1	Well annotated
GPX.3.selenocysteine	cds-XP_079881849.1	Well annotated
GPX.6.selenocysteine	cds-XP_079899065.1	Well annotated
GPX.8.selenocysteine	cds-XP_079888143.1	Well annotated
GPX.8.selenocysteine	cds-XP_079888144.1	Well annotated
MSRB.1.selenocysteine	cds-XP_079900555.1	Well annotated
MSRB.6.selenocysteine	cds-XP_079905213.1	Downstream
MSRB.6.selenocysteine	cds-XP_079905700.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_079898097.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_079890493.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_079892048.1	Well annotated
SELENOI.8.selenocysteine	cds-XP_079903734.1	Well annotated
SELENOJ.10.selenocysteine	cds-XP_079889754.1	Well annotated
SELENOJ.3.selenocysteine	cds-XP_079906615.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_079888050.1	Stop codon
SELENOL.7.selenocysteine	cds-XP_079904221.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_079896465.1	Downstream
SELENOM.3.selenocysteine	cds-XP_079897374.1	Well annotated
SELENON.10.selenocysteine	cds-XP_079898655.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_079884254.1	Stop codon
SELENOO.10.selenocysteine	cds-XP_079907570.1	Stop codon
SELENOP.3.selenocysteine	cds-XP_079893299.1	Well annotated
SELENOP.5.selenocysteine	cds-XP_079890132.1	Well annotated
SELENOS.5.selenocysteine	cds-XP_079890738.1	Stop codon
SELENOT.10.selenocysteine	cds-XP_079910770.1	Well annotated
SELENOT.3.selenocysteine	cds-XP_079889890.1	Well annotated
SELENOT.8.selenocysteine	cds-XP_079910275.1	Well annotated
SELENOT.8.selenocysteine	cds-XP_079910276.1	Well annotated
SELENOU.4.selenocysteine	cds-XP_079892774.1	Well annotated
SELENOU.4.selenocysteine	cds-XP_079892775.1	Well annotated
SELENOU.4.selenocysteine	cds-XP_079892776.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_079899755.1	Well annotated
SEPHS2.3.selenocysteine	cds-XP_079886425.1	Well annotated
TXNRD.12.selenocysteine	cds-XP_079900037.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_079907665.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_079881733.1	Stop codon
