transcript_id	transcript_id_ens	Type_annotation
GPX.11.selenocysteine	BRAKERKREP00000006201	Downstream
GPX.11.selenocysteine	g9259.t1	Downstream
GPX.3.selenocysteine	BRAKERKREP00000007947	Skipped
GPX.3.selenocysteine	g7067.t1	Skipped
GPX.4.selenocysteine	BRAKERKREP00000024225	Downstream
GPX.4.selenocysteine	g17280.t1	Downstream
GPX.9.selenocysteine	BRAKERKREP00000006918	Downstream
GPX.9.selenocysteine	BRAKERKREP00000006990	Downstream
GPX.9.selenocysteine	g11575.t1	Downstream
GPX.9.selenocysteine	g11577.t1	Downstream
MSRB.4.selenocysteine	BRAKERKREP00000014518	Stop codon
MSRB.4.selenocysteine	g15962.t1	Stop codon
MsrA.3.selenocysteine	BRAKERKREP00000016599	Downstream
MsrA.3.selenocysteine	g10488.t1	Downstream
SELENOF.1.selenocysteine	BRAKERKREP00000000054	Upstream
SELENOF.1.selenocysteine	g39.t1	Upstream
SELENON.4.selenocysteine	BRAKERKREP00000005965	Stop codon
SELENON.4.selenocysteine	g21842.t1	Stop codon
SELENOU.4.selenocysteine	BRAKERKREP00000013271	Skipped
SELENOU.4.selenocysteine	g18937.t1	Skipped
TXNRD.3.selenocysteine	BRAKERKREP00000015289	Stop codon
TXNRD.3.selenocysteine	g7362.t1	Stop codon
