transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_038583261.1	Well annotated
DIO.16.selenocysteine	cds-XP_038595335.1	Well annotated
DIO.17.selenocysteine	cds-XP_038572033.1	Well annotated
DIO.2.selenocysteine	cds-XP_038584040.1	Well annotated
DIO.4.selenocysteine	cds-XP_038584207.1	Well annotated
GPX.11.selenocysteine	cds-XP_038592184.1	Downstream
GPX.14.selenocysteine	cds-XP_038572219.1	Well annotated
GPX.14.selenocysteine	cds-XP_038572220.1	Well annotated
GPX.14.selenocysteine	cds-XP_038572221.1	Well annotated
GPX.18.selenocysteine	cds-XP_038555842.1	Well annotated
GPX.23.selenocysteine	cds-XP_038574132.1	Well annotated
GPX.24.selenocysteine	cds-XP_038550760.1	Well annotated
GPX.3.selenocysteine	cds-XP_038553847.1	Well annotated
GPX.4.selenocysteine	cds-XP_038553148.1	Well annotated
GPX.6.selenocysteine	cds-XP_038575416.1	Well annotated
GPX.8.selenocysteine	cds-XP_038585623.1	Well annotated
MSRB.1.selenocysteine	cds-XP_038555891.1	Well annotated
MSRB.4.selenocysteine	cds-XP_038592072.1	Well annotated
MSRB.4.selenocysteine	cds-XP_038592073.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_038559025.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_038574303.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_038555612.1	Well annotated
SELENOI.2.selenocysteine	cds-XP_038583275.1	Well annotated
SELENOJ.5.selenocysteine	cds-XP_038574638.1	Well annotated
SELENOJ.9.selenocysteine	cds-XP_038580664.1	Well annotated
SELENOJ.9.selenocysteine	cds-XP_038580673.1	Well annotated
SELENOJ.9.selenocysteine	cds-XP_038580683.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_038579134.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_038558935.1	Well annotated
SELENON.16.selenocysteine	cds-XP_038585948.1	Well annotated
SELENON.16.selenocysteine	cds-XP_038585950.1	Well annotated
SELENON.20.selenocysteine	cds-XP_038584612.1	Well annotated
SELENON.20.selenocysteine	cds-XP_038584613.1	Well annotated
SELENOO.27.selenocysteine	cds-XP_038590805.1	Out of frame
SELENOO.8.selenocysteine	cds-XP_038595164.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_038558731.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_038558733.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_038574698.1	Well annotated
SELENOS.1.selenocysteine	cds-XP_038548373.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_038555783.1	Well annotated
SELENOT.7.selenocysteine	cds-XP_038574035.1	Well annotated
SELENOU.13.selenocysteine	cds-XP_038592389.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_038592945.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_038592946.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_038592947.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_038592948.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_038561496.1	Well annotated
SEPHS2.10.selenocysteine	cds-XP_038595719.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_038559902.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_038552301.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_038552302.1	Stop codon
