transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP05600070592	Downstream
DIO.1.selenocysteine	ENSP05600070593	Well annotated
DIO.3.selenocysteine	ENSP05600059199	Well annotated
DIO.3.selenocysteine	ENSP05600059201	Well annotated
DIO.3.selenocysteine	ENSP05600059203	Upstream
DIO.3.selenocysteine	ENSP05600059204	Out of frame
DIO.3.selenocysteine	ENSP05600059206	Upstream
DIO.3.selenocysteine	ENSP05600059207	Upstream
DIO.3.selenocysteine	ENSP05600059208	Upstream
DIO.4.selenocysteine	ENSP05600109322	Well annotated
DIO.4.selenocysteine	ENSP05600109323	Well annotated
DIO.4.selenocysteine	ENSP05600109324	Well annotated
DIO.4.selenocysteine	ENSP05600109325	Out of frame
DIO.4.selenocysteine	ENSP05600109326	Out of frame
DIO.4.selenocysteine	ENSP05600109327	Upstream
DIO.4.selenocysteine	ENSP05600109328	Out of frame
DIO.4.selenocysteine	ENSP05600109329	Skipped
DIO.4.selenocysteine	ENSP05600109330	Downstream
DIO.4.selenocysteine	ENSP05600109331	Well annotated
DIO.4.selenocysteine	ENSP05600109332	Upstream
DIO.4.selenocysteine	ENSP05600109333	Upstream
GPX.11.selenocysteine	ENSP05600021474	Well annotated
GPX.11.selenocysteine	ENSP05600021476	Well annotated
GPX.11.selenocysteine	ENSP05600021478	Well annotated
GPX.11.selenocysteine	ENSP05600021481	Well annotated
GPX.11.selenocysteine	ENSP05600021483	Well annotated
GPX.11.selenocysteine	ENSP05600021485	Well annotated
GPX.11.selenocysteine	ENSP05600021488	Well annotated
GPX.11.selenocysteine	ENSP05600021491	Downstream
GPX.11.selenocysteine	ENSP05600021493	Well annotated
GPX.11.selenocysteine	ENSP05600021495	Well annotated
GPX.11.selenocysteine	ENSP05600021496	Well annotated
GPX.11.selenocysteine	ENSP05600021497	Downstream
GPX.16.selenocysteine	ENSP05600089786	Well annotated
GPX.16.selenocysteine	ENSP05600089789	Well annotated
GPX.16.selenocysteine	ENSP05600089790	Upstream
GPX.16.selenocysteine	ENSP05600089793	Upstream
GPX.16.selenocysteine	ENSP05600089795	Out of frame
GPX.18.selenocysteine	ENSP05600000144	Well annotated
GPX.18.selenocysteine	ENSP05600000145	Well annotated
GPX.3.selenocysteine	ENSP05600037437	Well annotated
GPX.3.selenocysteine	ENSP05600037438	Well annotated
