transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_084593852.1	Well annotated
DIO.2.selenocysteine	cds-XP_084598252.1	Well annotated
DIO.4.selenocysteine	cds-XP_084598845.1	Well annotated
DIO.5.selenocysteine	cds-XP_084578331.1	Well annotated
GPX.11.selenocysteine	cds-XP_084597729.1	Well annotated
GPX.14.selenocysteine	cds-XP_084578990.1	Well annotated
GPX.14.selenocysteine	cds-XP_084578991.1	Well annotated
GPX.14.selenocysteine	cds-XP_084578992.1	Well annotated
GPX.17.selenocysteine	cds-XP_084575617.1	Well annotated
GPX.22.selenocysteine	cds-XP_084588030.1	Well annotated
GPX.3.selenocysteine	cds-XP_084591748.1	Well annotated
GPX.4.selenocysteine	cds-XP_084589772.1	Well annotated
GPX.6.selenocysteine	cds-XP_084598159.1	Well annotated
MSRB.2.selenocysteine	cds-XP_084600026.1	Well annotated
MSRB.5.selenocysteine	cds-XP_084596784.1	Well annotated
SELENOE.2.selenocysteine	cds-XP_084585620.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_084587577.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_084575220.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_084593397.1	Well annotated
SELENOJ.10.selenocysteine	cds-XP_084603680.1	Well annotated
SELENOJ.5.selenocysteine	cds-XP_084587964.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_084577688.1	Well annotated
SELENOL.2.selenocysteine	cds-XP_084594222.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_084584991.1	Well annotated
SELENON.10.selenocysteine	cds-XP_084598821.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_084590006.1	Well annotated
SELENOO.12.selenocysteine	cds-XP_084567012.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_084584818.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_084589039.1	Well annotated
SELENOS.6.selenocysteine	cds-XP_084578226.1	Well annotated
SELENOS.6.selenocysteine	cds-XP_084578230.1	Upstream
SELENOT.2.selenocysteine	cds-XP_084574620.1	Well annotated
SELENOT.2.selenocysteine	cds-XP_084574621.1	Well annotated
SELENOT.4.selenocysteine	cds-XP_084588827.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_084592018.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_084592019.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_084592020.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_084601214.1	Well annotated
SEPHS2.10.selenocysteine	cds-XP_084578041.1	Well annotated
TXNRD.18.selenocysteine	cds-XP_084567191.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_084585219.1	Well annotated
TXNRD.8.selenocysteine	cds-XP_084583435.1	Well annotated
TXNRD.8.selenocysteine	cds-XP_084583443.1	Well annotated
