transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSCGBP00020121084	Well annotated
DIO.10.selenocysteine	ENSCGBP00020085784	Skipped
DIO.10.selenocysteine	ENSCGBP00020085785	Skipped
DIO.13.selenocysteine	ENSCGBP00020010443	Skipped
DIO.13.selenocysteine	ENSCGBP00020010471	Skipped
DIO.13.selenocysteine	ENSCGBP00020010764	Skipped
DIO.13.selenocysteine	ENSCGBP00020010787	Skipped
DIO.13.selenocysteine	ENSCGBP00020010822	Skipped
DIO.13.selenocysteine	ENSCGBP00020010925	Skipped
DIO.13.selenocysteine	ENSCGBP00020010975	Skipped
DIO.13.selenocysteine	ENSCGBP00020010987	Skipped
DIO.13.selenocysteine	ENSCGBP00020011044	Skipped
DIO.2.selenocysteine	ENSCGBP00020106352	Well annotated
DIO.3.selenocysteine	ENSCGBP00020076030	Downstream
DIO.3.selenocysteine	ENSCGBP00020080947	Stop codon
DIO.5.selenocysteine	ENSCGBP00020011535	Skipped
DIO.6.selenocysteine	ENSCGBP00020069437	Stop codon
DIO.6.selenocysteine	ENSCGBP00020069438	Downstream
DIO.8.selenocysteine	ENSCGBP00020069393	Skipped
DIO.8.selenocysteine	ENSCGBP00020069394	Skipped
GPX.10.selenocysteine	ENSCGBP00020109547	Skipped
GPX.10.selenocysteine	ENSCGBP00020109551	Well annotated
GPX.10.selenocysteine	ENSCGBP00020109553	Skipped
GPX.12.selenocysteine	ENSCGBP00020040715	Skipped
GPX.12.selenocysteine	ENSCGBP00020040928	Skipped
GPX.12.selenocysteine	ENSCGBP00020040932	Skipped
GPX.12.selenocysteine	ENSCGBP00020040951	Skipped
GPX.12.selenocysteine	ENSCGBP00020040974	Well annotated
GPX.12.selenocysteine	ENSCGBP00020040975	Skipped
GPX.12.selenocysteine	ENSCGBP00020040976	Skipped
GPX.2.selenocysteine	ENSCGBP00020123212	Well annotated
GPX.21.selenocysteine	ENSCGBP00020100267	Skipped
GPX.26.selenocysteine	ENSCGBP00020010321	Skipped
GPX.27.selenocysteine	ENSCGBP00020109650	Downstream
GPX.3.selenocysteine	ENSCGBP00020111030	Downstream
GPX.3.selenocysteine	ENSCGBP00020111037	Skipped
GPX.3.selenocysteine	ENSCGBP00020111047	Skipped
GPX.3.selenocysteine	ENSCGBP00020111049	Skipped
GPX.3.selenocysteine	ENSCGBP00020111053	Skipped
GPX.3.selenocysteine	ENSCGBP00020111074	Skipped
GPX.31.selenocysteine	ENSCGBP00020063324	Skipped
GPX.31.selenocysteine	ENSCGBP00020063334	Skipped
GPX.31.selenocysteine	ENSCGBP00020063395	Skipped
GPX.31.selenocysteine	ENSCGBP00020063401	Skipped
GPX.31.selenocysteine	ENSCGBP00020063403	Skipped
