transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSNEXP00000007093	Skipped
DIO.3.selenocysteine	ENSNEXP00000026854	Skipped
DIO.3.selenocysteine	ENSNEXP00000026862	Skipped
FrnE.1.selenocysteine	ENSNEXP00000011666	Downstream
GPX.10.selenocysteine	ENSNEXP00000014912	Downstream
GPX.12.selenocysteine	ENSNEXP00000020858	Skipped
GPX.16.selenocysteine	ENSNEXP00000019844	Downstream
GPX.2.selenocysteine	ENSNEXP00000016944	Skipped
GPX.2.selenocysteine	ENSNEXP00000016950	Downstream
GPX.3.selenocysteine	ENSNEXP00000025262	Skipped
GPX.3.selenocysteine	ENSNEXP00000025268	Downstream
MsrA.10.selenocysteine	ENSNEXP00000023384	Downstream
SELENOJ.3.selenocysteine	ENSNEXP00000004032	Skipped
SELENOL.1.selenocysteine	ENSNEXP00000016992	Downstream
SELENOL.1.selenocysteine	ENSNEXP00000017612	Stop codon
SELENON.3.selenocysteine	ENSNEXP00000016376	Stop codon
SELENON.3.selenocysteine	ENSNEXP00000016571	Upstream
SELENON.3.selenocysteine	ENSNEXP00000016575	Upstream
SELENOT.3.selenocysteine	ENSNEXP00000010722	Downstream
SELENOT.3.selenocysteine	ENSNEXP00000010731	Downstream
SEPHS2.4.selenocysteine	ENSNEXP00000001765	Skipped
SEPHS2.4.selenocysteine	ENSNEXP00000001774	Downstream
TXNRD.10.selenocysteine	ENSNEXP00000001899	Upstream
TXNRD.10.selenocysteine	ENSNEXP00000001910	Stop codon
TXNRD.10.selenocysteine	ENSNEXP00000001918	Stop codon
