transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_082305429.1	Well annotated
DIO.3.selenocysteine	cds-XP_082307531.1	Well annotated
DIO.3.selenocysteine	cds-XP_082307532.1	Well annotated
DIO.3.selenocysteine	cds-XP_082307533.1	Well annotated
DIO.3.selenocysteine	cds-XP_082307534.1	Well annotated
DIO.3.selenocysteine	cds-XP_082307535.1	Well annotated
DIO.3.selenocysteine	cds-XP_082307536.1	Well annotated
DIO.3.selenocysteine	cds-XP_082307537.1	Well annotated
DIO.7.selenocysteine	cds-XP_082286839.1	Well annotated
DIO.7.selenocysteine	cds-XP_082286840.1	Well annotated
GPX.12.selenocysteine	cds-XP_082308038.1	Well annotated
GPX.2.selenocysteine	cds-XP_082269809.1	Well annotated
GPX.22.selenocysteine	cds-XP_082312239.1	Well annotated
GPX.22.selenocysteine	cds-XP_082312240.1	Well annotated
GPX.23.selenocysteine	cds-XP_082311760.1	Well annotated
GPX.3.selenocysteine	cds-XP_082271638.1	Well annotated
MSRB.6.selenocysteine	cds-XP_082288172.1	Upstream
MSRB.6.selenocysteine	cds-XP_082288173.1	Well annotated
MSRB.6.selenocysteine	cds-XP_082288174.1	Upstream
SELENOF.3.selenocysteine	cds-XP_082266968.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_082266969.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_082332296.1	Well annotated
SELENOI.10.selenocysteine	cds-XP_082283705.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_082270687.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_082273444.1	Well annotated
SELENON.2.selenocysteine	cds-XP_082290323.1	Well annotated
SELENON.2.selenocysteine	cds-XP_082290324.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_082276566.1	Stop codon
SELENOO.8.selenocysteine	cds-XP_082276567.1	Out of frame
SELENOP.3.selenocysteine	cds-XP_082310659.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_082310660.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_082306350.1	Stop codon
SELENOS.3.selenocysteine	cds-XP_082306351.1	Stop codon
SELENOT.5.selenocysteine	cds-XP_082315822.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_082315823.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_082294234.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_082294531.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_082294532.1	Well annotated
SEPHS2.2.selenocysteine	cds-XP_082285041.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_082270084.1	Stop codon
TXNRD.13.selenocysteine	cds-XP_082270085.1	Stop codon
TXNRD.13.selenocysteine	cds-XP_082270086.1	Upstream
TXNRD.34.selenocysteine	cds-XP_082273125.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_082273126.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_082273127.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_082273128.1	Upstream
TXNRD.34.selenocysteine	cds-XP_082273129.1	Upstream
TXNRD.34.selenocysteine	cds-XP_082273130.1	Upstream
