transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSUMNP00000024908	Stop codon
DIO.1.selenocysteine	ENSUMNP00000026468	Downstream
GPX.12.selenocysteine	ENSUMNP00000021159	Skipped
GPX.3.selenocysteine	ENSUMNP00000033095	Downstream
GPX.3.selenocysteine	ENSUMNP00000033105	Downstream
GPX.6.selenocysteine	ENSUMNP00000007594	Downstream
GPX.8.selenocysteine	ENSUMNP00000017808	Skipped
GPX.8.selenocysteine	ENSUMNP00000017817	Skipped
GPX.8.selenocysteine	ENSUMNP00000017823	Skipped
GPX.8.selenocysteine	ENSUMNP00000017834	Skipped
GPX.8.selenocysteine	ENSUMNP00000017847	Skipped
MSRB.4.selenocysteine	ENSUMNP00000035608	Stop codon
SELENOF.2.selenocysteine	ENSUMNP00000007816	Stop codon
SELENOJ.1.selenocysteine	ENSUMNP00000027967	Stop codon
SELENOJ.1.selenocysteine	ENSUMNP00000027977	Stop codon
SELENOJ.1.selenocysteine	ENSUMNP00000027993	Skipped
SELENOL.2.selenocysteine	ENSUMNP00000018532	Downstream
SELENOL.2.selenocysteine	ENSUMNP00000018540	Downstream
SELENOL.2.selenocysteine	ENSUMNP00000024046	Stop codon
SELENON.1.selenocysteine	ENSUMNP00000021009	Skipped
SELENON.1.selenocysteine	ENSUMNP00000021020	Stop codon
SELENON.1.selenocysteine	ENSUMNP00000021024	Stop codon
SELENOT.4.selenocysteine	ENSUMNP00000020994	Downstream
SELENOT.4.selenocysteine	ENSUMNP00000021006	Downstream
SEPHS2.3.selenocysteine	ENSUMNP00000015511	Skipped
SEPHS2.3.selenocysteine	ENSUMNP00000015521	Downstream
TXNRD.10.selenocysteine	ENSUMNP00000026626	Stop codon
TXNRD.10.selenocysteine	ENSUMNP00000026640	Stop codon
TXNRD.10.selenocysteine	ENSUMNP00000026660	Stop codon
TXNRD.10.selenocysteine	ENSUMNP00000026669	Stop codon
TXNRD.10.selenocysteine	ENSUMNP00000026683	Stop codon
TXNRD.14.selenocysteine	ENSUMNP00000027034	Stop codon
