transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSMREP00020017838	Downstream
DIO.1.selenocysteine	ENSMREP00020050388	Downstream
DIO.3.selenocysteine	ENSMREP00020008721	Out of frame
DIO.3.selenocysteine	ENSMREP00020039643	Out of frame
DIO.5.selenocysteine	ENSMREP00020004679	Stop codon
DIO.5.selenocysteine	ENSMREP00020004681	Upstream
DIO.5.selenocysteine	ENSMREP00020004684	Skipped
DIO.5.selenocysteine	ENSMREP00020004686	Skipped
DIO.5.selenocysteine	ENSMREP00020057105	Stop codon
DIO.5.selenocysteine	ENSMREP00020057114	Upstream
DIO.5.selenocysteine	ENSMREP00020057118	Skipped
DIO.5.selenocysteine	ENSMREP00020057120	Skipped
GPX.10.selenocysteine	ENSMREP00020027210	Skipped
GPX.10.selenocysteine	ENSMREP00020027214	Skipped
GPX.10.selenocysteine	ENSMREP00020062437	Skipped
GPX.10.selenocysteine	ENSMREP00020062439	Skipped
GPX.12.selenocysteine	ENSMREP00020021946	Skipped
GPX.12.selenocysteine	ENSMREP00020036947	Skipped
GPX.2.selenocysteine	ENSMREP00020027674	Downstream
GPX.2.selenocysteine	ENSMREP00020027679	Downstream
GPX.2.selenocysteine	ENSMREP00020061342	Downstream
GPX.2.selenocysteine	ENSMREP00020061343	Downstream
GPX.25.selenocysteine	ENSMREP00020011400	Skipped
GPX.25.selenocysteine	ENSMREP00020051948	Skipped
GPX.3.selenocysteine	ENSMREP00020009442	Downstream
GPX.3.selenocysteine	ENSMREP00020041631	Downstream
MSRB.2.selenocysteine	ENSMREP00020033269	Stop codon
MSRB.2.selenocysteine	ENSMREP00020065189	Stop codon
SELENOF.3.selenocysteine	ENSMREP00020001674	Skipped
SELENOF.3.selenocysteine	ENSMREP00020035154	Skipped
SELENOH.2.selenocysteine	ENSMREP00020010975	Skipped
SELENOH.2.selenocysteine	ENSMREP00020049523	Skipped
SELENOI.8.selenocysteine	ENSMREP00020029412	Stop codon
SELENOI.8.selenocysteine	ENSMREP00020029413	Stop codon
SELENOI.8.selenocysteine	ENSMREP00020056126	Stop codon
SELENOK.2.selenocysteine	ENSMREP00020028469	Stop codon
SELENOK.2.selenocysteine	ENSMREP00020061682	Stop codon
SELENOM.1.selenocysteine	ENSMREP00020023149	Skipped
SELENOM.1.selenocysteine	ENSMREP00020055746	Skipped
SELENON.2.selenocysteine	ENSMREP00020025628	Skipped
SELENON.2.selenocysteine	ENSMREP00020065004	Skipped
SELENOO.3.selenocysteine	ENSMREP00020030207	Stop codon
SELENOO.3.selenocysteine	ENSMREP00020030208	Stop codon
SELENOO.3.selenocysteine	ENSMREP00020058904	Stop codon
SELENOS.3.selenocysteine	ENSMREP00020002696	Upstream
SELENOS.3.selenocysteine	ENSMREP00020002697	Stop codon
SELENOS.3.selenocysteine	ENSMREP00020002698	Stop codon
SELENOS.3.selenocysteine	ENSMREP00020002699	Stop codon
SELENOS.3.selenocysteine	ENSMREP00020038201	Upstream
SELENOS.3.selenocysteine	ENSMREP00020038202	Stop codon
SELENOT.2.selenocysteine	ENSMREP00020013638	Skipped
SELENOT.2.selenocysteine	ENSMREP00020046987	Skipped
SELENOW.4.selenocysteine	ENSMREP00020031915	Skipped
SELENOW.4.selenocysteine	ENSMREP00020059705	Skipped
TXNRD.22.selenocysteine	ENSMREP00020025209	Stop codon
TXNRD.22.selenocysteine	ENSMREP00020025217	Stop codon
TXNRD.22.selenocysteine	ENSMREP00020025221	Stop codon
TXNRD.22.selenocysteine	ENSMREP00020060687	Stop codon
TXNRD.22.selenocysteine	ENSMREP00020060689	Stop codon
TXNRD.22.selenocysteine	ENSMREP00020060691	Stop codon
TXNRD.3.selenocysteine	ENSMREP00020021816	Stop codon
TXNRD.3.selenocysteine	ENSMREP00020021817	Stop codon
TXNRD.3.selenocysteine	ENSMREP00020050397	Stop codon
TXNRD.3.selenocysteine	ENSMREP00020050399	Stop codon
TXNRD.34.selenocysteine	ENSMREP00020024830	Stop codon
TXNRD.34.selenocysteine	ENSMREP00020024837	Stop codon
TXNRD.34.selenocysteine	ENSMREP00020024841	Stop codon
TXNRD.34.selenocysteine	ENSMREP00020057238	Stop codon
