transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAM9190221.1	Well annotated
DIO.3.selenocysteine	cds-KAM9190403.1	Well annotated
DIO.3.selenocysteine	cds-KAM9190404.1	Well annotated
DIO.3.selenocysteine	cds-KAM9190405.1	Out of frame
DIO.5.selenocysteine	cds-KAM9186903.1	Well annotated
GPX.1.selenocysteine	cds-KAM9185407.1	Well annotated
GPX.3.selenocysteine	cds-KAM9190785.1	Well annotated
GPX.5.selenocysteine	cds-KAM9182126.1	Well annotated
GPX.6.selenocysteine	cds-KAM9174463.1	Well annotated
GPX.6.selenocysteine	cds-KAM9174464.1	Well annotated
MSRB.1.selenocysteine	cds-KAM9179270.1	Well annotated
SELENOF.1.selenocysteine	cds-KAM9186494.1	Well annotated
SELENOH.1.selenocysteine	cds-KAM9191349.1	Well annotated
SELENOI.3.selenocysteine	cds-KAM9195153.1	Well annotated
SELENOK.2.selenocysteine	cds-KAM9182420.1	Stop codon
SELENOM.2.selenocysteine	cds-KAM9178757.1	Well annotated
SELENON.2.selenocysteine	cds-KAM9175565.1	Well annotated
SELENOO.1.selenocysteine	cds-KAM9205986.1	Stop codon
SELENOP.1.selenocysteine	cds-KAM9186856.1	Well annotated
SELENOP.1.selenocysteine	cds-KAM9186857.1	Well annotated
SELENOP.1.selenocysteine	cds-KAM9186858.1	Well annotated
SELENOP.3.selenocysteine	cds-KAM9167336.1	Well annotated
SELENOS.5.selenocysteine	cds-KAM9181540.1	Stop codon
SELENOT.2.selenocysteine	cds-KAM9183902.1	Well annotated
SELENOU.6.selenocysteine	cds-KAM9188274.1	Well annotated
SELENOU.6.selenocysteine	cds-KAM9188275.1	Well annotated
SELENOU.6.selenocysteine	cds-KAM9188276.1	Well annotated
SELENOU.6.selenocysteine	cds-KAM9188277.1	Well annotated
SELENOU.6.selenocysteine	cds-KAM9188278.1	Well annotated
TXNRD.21.selenocysteine	cds-KAM9204316.1	Stop codon
TXNRD.37.selenocysteine	cds-KAM9178878.1	Stop codon
TXNRD.9.selenocysteine	cds-KAM9182333.1	Stop codon
