transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSMODP00000069384	Skipped
DIO.3.selenocysteine	ENSMODP00000040909	Stop codon
DIO.3.selenocysteine	ENSMODP00000089379	Upstream
DIO.5.selenocysteine	ENSMODP00000065923	Skipped
DIO.5.selenocysteine	ENSMODP00000067804	Skipped
GPX.13.selenocysteine	ENSMODP00000042905	Skipped
GPX.15.selenocysteine	ENSMODP00000006783	Skipped
GPX.15.selenocysteine	ENSMODP00000088054	Skipped
GPX.7.selenocysteine	ENSMODP00000063526	Downstream
GPX.7.selenocysteine	ENSMODP00000066305	Downstream
GPX.9.selenocysteine	ENSMODP00000012086	Well annotated
GPX.9.selenocysteine	ENSMODP00000068340	Skipped
GPX.9.selenocysteine	ENSMODP00000081585	Skipped
GPX.9.selenocysteine	ENSMODP00000087419	Skipped
MSRB.1.selenocysteine	ENSMODP00000089242	Stop codon
MSRB.1.selenocysteine	ENSMODP00000090784	Stop codon
SELENOF.7.selenocysteine	ENSMODP00000088431	Skipped
SELENOH.2.selenocysteine	ENSMODP00000060253	Skipped
SELENOI.3.selenocysteine	ENSMODP00000019710	Stop codon
SELENOI.3.selenocysteine	ENSMODP00000054608	Upstream
SELENOI.3.selenocysteine	ENSMODP00000063645	Stop codon
SELENOI.3.selenocysteine	ENSMODP00000064597	Stop codon
SELENOI.3.selenocysteine	ENSMODP00000068240	Stop codon
SELENOI.3.selenocysteine	ENSMODP00000071696	Stop codon
SELENOI.3.selenocysteine	ENSMODP00000087508	Upstream
SELENOK.1.selenocysteine	ENSMODP00000049026	Stop codon
SELENOK.1.selenocysteine	ENSMODP00000070626	Stop codon
SELENOM.2.selenocysteine	ENSMODP00000062383	Downstream
SELENON.10.selenocysteine	ENSMODP00000017520	Stop codon
SELENON.10.selenocysteine	ENSMODP00000069395	Downstream
SELENOO.4.selenocysteine	ENSMODP00000006822	Stop codon
SELENOP.2.selenocysteine	ENSMODP00000057100	Downstream
SELENOP.2.selenocysteine	ENSMODP00000068884	Downstream
SELENOP.2.selenocysteine	ENSMODP00000089688	Downstream
SELENOS.7.selenocysteine	ENSMODP00000015072	Upstream
SELENOT.8.selenocysteine	ENSMODP00000067447	Skipped
SELENOT.8.selenocysteine	ENSMODP00000069125	Skipped
SELENOT.8.selenocysteine	ENSMODP00000069915	Skipped
SELENOT.8.selenocysteine	ENSMODP00000075557	Skipped
SEPHS2.1.selenocysteine	ENSMODP00000006555	Downstream
SEPHS2.8.selenocysteine	ENSMODP00000066991	Skipped
SEPHS2.8.selenocysteine	ENSMODP00000084505	Skipped
TXNRD.16.selenocysteine	ENSMODP00000081314	Stop codon
TXNRD.16.selenocysteine	ENSMODP00000088697	Stop codon
TXNRD.53.selenocysteine	ENSMODP00000073935	Stop codon
