transcript_id	transcript_id_ens	Type_annotation
DIO.5.selenocysteine	cds-KAA8590010.1	Stop codon
GPX.17.selenocysteine	cds-KAA8589109.1	Downstream
GPX.17.selenocysteine	cds-KAA8589110.1	Stop codon
GPX.4.selenocysteine	cds-KAA8593371.1	Skipped
GPX.6.selenocysteine	cds-KAA8582295.1	Skipped
GPX.7.selenocysteine	cds-KAA8587233.1	Downstream
MSRB.1.selenocysteine	cds-KAA8585045.1	Stop codon
MSRB.2.selenocysteine	cds-KAA8585045.1	Upstream
MSRB.5.selenocysteine	cds-KAA8581802.1	Upstream
SELENOE.5.selenocysteine	cds-KAA8592550.1	Skipped
SELENOF.3.selenocysteine	cds-KAA8587741.1	Skipped
SELENOH.1.selenocysteine	cds-KAA8588892.1	Skipped
SELENOI.4.selenocysteine	cds-KAA8583339.1	Upstream
SELENOJ.10.selenocysteine	cds-KAA8580948.1	Skipped
SELENOJ.5.selenocysteine	cds-KAA8587472.1	Skipped
SELENOL.3.selenocysteine	cds-KAA8582841.1	Out of frame
SELENOM.3.selenocysteine	cds-KAA8592217.1	Downstream
SELENON.1.selenocysteine	cds-KAA8582117.1	Out of frame
SELENOO.1.selenocysteine	cds-KAA8590637.1	Stop codon
SELENOO.11.selenocysteine	cds-KAA8579928.1	Stop codon
SELENOP.3.selenocysteine	cds-KAA8592987.1	Downstream
SELENOP.5.selenocysteine	cds-KAA8587506.1	Downstream
SELENOS.4.selenocysteine	cds-KAA8578857.1	Out of frame
SELENOT.3.selenocysteine	cds-KAA8577576.1	Skipped
SELENOU.3.selenocysteine	cds-KAA8583781.1	Skipped
SELENOU.8.selenocysteine	cds-KAA8583781.1	Skipped
SELENOW.1.selenocysteine	cds-KAA8596045.1	Downstream
TXNRD.13.selenocysteine	cds-KAA8592959.1	Stop codon
TXNRD.3.selenocysteine	cds-KAA8593541.1	Stop codon
