transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-CAF1111635.1	Skipped
DIO.16.selenocysteine	cds-CAF1078777.1	Out of frame
DIO.28.selenocysteine	cds-CAF1091344.1	Skipped
DIO.4.selenocysteine	cds-CAF1352981.1	Downstream
DIO.9.selenocysteine	cds-CAF0976024.1	Downstream
DIO.9.selenocysteine	cds-CAF0976042.1	Stop codon
GPX.1.selenocysteine	cds-CAF0876336.1	Stop codon
SELENOF.1.selenocysteine	cds-CAF1257904.1	Upstream
SELENOF.4.selenocysteine	cds-CAF0757549.1	Upstream
SELENON.5.selenocysteine	cds-CAF0776788.1	Skipped
SEPHS2.3.selenocysteine	cds-CAF1033321.1	Downstream
