transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSCHAP00020054260	Skipped
DIO.3.selenocysteine	ENSCHAP00020020461	Stop codon
DIO.3.selenocysteine	ENSCHAP00020020466	Downstream
DIO.4.selenocysteine	ENSCHAP00020060565	Stop codon
DIO.4.selenocysteine	ENSCHAP00020060568	Downstream
DIO.5.selenocysteine	ENSCHAP00020018910	Skipped
DIO.5.selenocysteine	ENSCHAP00020018913	Skipped
GPX.11.selenocysteine	ENSCHAP00020037557	Skipped
GPX.11.selenocysteine	ENSCHAP00020037579	Skipped
GPX.11.selenocysteine	ENSCHAP00020037589	Skipped
GPX.11.selenocysteine	ENSCHAP00020037606	Skipped
GPX.16.selenocysteine	ENSCHAP00020019068	Skipped
GPX.16.selenocysteine	ENSCHAP00020019076	Skipped
GPX.16.selenocysteine	ENSCHAP00020019114	Skipped
GPX.16.selenocysteine	ENSCHAP00020019118	Skipped
GPX.16.selenocysteine	ENSCHAP00020019124	Skipped
GPX.16.selenocysteine	ENSCHAP00020019141	Skipped
GPX.16.selenocysteine	ENSCHAP00020019163	Skipped
GPX.2.selenocysteine	ENSCHAP00020062818	Downstream
GPX.21.selenocysteine	ENSCHAP00020020586	Skipped
GPX.22.selenocysteine	ENSCHAP00020006868	Skipped
GPX.22.selenocysteine	ENSCHAP00020006896	Skipped
GPX.22.selenocysteine	ENSCHAP00020006901	Skipped
GPX.22.selenocysteine	ENSCHAP00020006905	Skipped
GPX.4.selenocysteine	ENSCHAP00020006442	Skipped
GPX.4.selenocysteine	ENSCHAP00020006444	Skipped
GPX.4.selenocysteine	ENSCHAP00020006446	Skipped
GPX.4.selenocysteine	ENSCHAP00020006450	Skipped
GPX.4.selenocysteine	ENSCHAP00020006455	Skipped
GPX.4.selenocysteine	ENSCHAP00020006458	Skipped
GPX.4.selenocysteine	ENSCHAP00020006463	Skipped
GPX.6.selenocysteine	ENSCHAP00020034719	Skipped
GPX.6.selenocysteine	ENSCHAP00020034724	Skipped
GPX.6.selenocysteine	ENSCHAP00020034736	Skipped
GPX.6.selenocysteine	ENSCHAP00020034743	Skipped
GPX.6.selenocysteine	ENSCHAP00020034759	Skipped
GPX.6.selenocysteine	ENSCHAP00020034767	Skipped
GPX.6.selenocysteine	ENSCHAP00020034781	Skipped
GPX.8.selenocysteine	ENSCHAP00020023277	Skipped
GPX.8.selenocysteine	ENSCHAP00020023292	Skipped
GPX.8.selenocysteine	ENSCHAP00020023299	Skipped
GPX.8.selenocysteine	ENSCHAP00020023303	Skipped
GPX.8.selenocysteine	ENSCHAP00020023305	Skipped
GPX.8.selenocysteine	ENSCHAP00020023308	Skipped
MSRB.1.selenocysteine	ENSCHAP00020016053	Stop codon
MSRB.8.selenocysteine	ENSCHAP00020022989	Stop codon
SELENOF.3.selenocysteine	ENSCHAP00020017895	Skipped
SELENOH.2.selenocysteine	ENSCHAP00020010666	Downstream
SELENOI.8.selenocysteine	ENSCHAP00020060456	Skipped
SELENOI.8.selenocysteine	ENSCHAP00020060458	Skipped
SELENOJ.5.selenocysteine	ENSCHAP00020024044	Skipped
SELENOJ.5.selenocysteine	ENSCHAP00020024048	Skipped
SELENOJ.8.selenocysteine	ENSCHAP00020065543	Skipped
SELENOJ.8.selenocysteine	ENSCHAP00020065545	Skipped
SELENOK.1.selenocysteine	ENSCHAP00020025339	Stop codon
SELENOL.8.selenocysteine	ENSCHAP00020004929	Downstream
SELENOL.8.selenocysteine	ENSCHAP00020004931	Stop codon
SELENOM.2.selenocysteine	ENSCHAP00020026325	Downstream
SELENON.8.selenocysteine	ENSCHAP00020007883	Skipped
SELENOO.8.selenocysteine	ENSCHAP00020045944	Upstream
SELENOP.2.selenocysteine	ENSCHAP00020045289	Skipped
SELENOP.3.selenocysteine	ENSCHAP00020016420	Skipped
SELENOS.3.selenocysteine	ENSCHAP00020003060	Stop codon
SELENOT.3.selenocysteine	ENSCHAP00020004250	Skipped
SELENOT.3.selenocysteine	ENSCHAP00020004252	Skipped
SELENOU.10.selenocysteine	ENSCHAP00020065497	Skipped
SELENOU.10.selenocysteine	ENSCHAP00020065498	Skipped
SELENOU.13.selenocysteine	ENSCHAP00020058387	Skipped
SELENOU.8.selenocysteine	ENSCHAP00020065501	Skipped
SELENOW.1.selenocysteine	ENSCHAP00020055327	Downstream
SELENOW.2.selenocysteine	ENSCHAP00020005325	Skipped
SEPHS2.4.selenocysteine	ENSCHAP00020070734	Downstream
TXNRD.23.selenocysteine	ENSCHAP00020071228	Stop codon
TXNRD.23.selenocysteine	ENSCHAP00020071229	Stop codon
TXNRD.23.selenocysteine	ENSCHAP00020071230	Stop codon
TXNRD.25.selenocysteine	ENSCHAP00020030840	Upstream
TXNRD.3.selenocysteine	ENSCHAP00020035971	Skipped
TXNRD.3.selenocysteine	ENSCHAP00020035999	Skipped
TXNRD.3.selenocysteine	ENSCHAP00020036008	Skipped
TXNRD.3.selenocysteine	ENSCHAP00020036027	Skipped
TXNRD.3.selenocysteine	ENSCHAP00020036039	Skipped
TXNRD.3.selenocysteine	ENSCHAP00020036043	Skipped
