transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_059039111.1	Well annotated
DIO.3.selenocysteine	cds-XP_059038623.1	Out of frame
DIO.6.selenocysteine	cds-XP_058993430.1	Well annotated
DIO.6.selenocysteine	cds-XP_058993431.1	Skipped
GPX.17.selenocysteine	cds-XP_059030058.1	Well annotated
GPX.2.selenocysteine	cds-XP_059015180.1	Well annotated
GPX.2.selenocysteine	cds-XP_059015181.1	Well annotated
GPX.21.selenocysteine	cds-XP_059032227.1	Well annotated
GPX.5.selenocysteine	cds-XP_059016880.1	Well annotated
GPX.7.selenocysteine	cds-XP_059038325.1	Well annotated
MSRB.2.selenocysteine	cds-XP_059011303.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_058994480.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_058994481.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_058998815.1	Well annotated
SELENOI.2.selenocysteine	cds-XP_058988421.1	Upstream
SELENOI.2.selenocysteine	cds-XP_058988422.1	Upstream
SELENOK.2.selenocysteine	cds-XP_059017194.1	Well annotated
SELENOM.1.selenocysteine	cds-XP_058994937.1	Well annotated
SELENON.3.selenocysteine	cds-XP_058992443.1	Well annotated
SELENON.3.selenocysteine	cds-XP_058992444.1	Well annotated
SELENOO.4.selenocysteine	cds-XP_059043333.1	Well annotated
SELENOO.4.selenocysteine	cds-XP_059043334.1	Stop codon
SELENOS.2.selenocysteine	cds-XP_059036155.1	Stop codon
SELENOT.1.selenocysteine	cds-XP_059013826.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_059019749.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_059008065.1	Skipped
SELENOW.4.selenocysteine	cds-XP_059008634.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_059008635.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_059010915.1	Well annotated
TXNRD.12.selenocysteine	cds-XP_059042687.1	Stop codon
TXNRD.12.selenocysteine	cds-XP_059042697.1	Upstream
TXNRD.22.selenocysteine	cds-XP_059017921.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_058996288.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_058996290.1	Stop codon
