transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_016021464.1	Stop codon
DIO.3.selenocysteine	cds-XP_015993012.1	Well annotated
DIO.3.selenocysteine	cds-XP_015993013.1	Well annotated
DIO.3.selenocysteine	cds-XP_036073750.1	Well annotated
DIO.4.selenocysteine	cds-XP_015975831.1	Well annotated
GPX.2.selenocysteine	cds-XP_016005420.2	Well annotated
GPX.20.selenocysteine	cds-XP_015974190.2	Well annotated
GPX.4.selenocysteine	cds-XP_015997216.1	Well annotated
GPX.7.selenocysteine	cds-XP_015982108.1	Well annotated
MSRB.1.selenocysteine	cds-XP_015992082.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_016004004.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_016015478.1	Well annotated
SELENOI.10.selenocysteine	cds-XP_015990621.1	Well annotated
SELENOK.4.selenocysteine	cds-XP_016011848.1	Well annotated
SELENOK.4.selenocysteine	cds-XP_036074513.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_016020760.1	Well annotated
SELENON.2.selenocysteine	cds-XP_015985298.2	Well annotated
SELENON.2.selenocysteine	cds-XP_036086096.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_015980777.2	Well annotated
SELENOO.1.selenocysteine	cds-XP_036093647.1	Upstream
SELENOP.1.selenocysteine	cds-XP_015989189.2	Well annotated
SELENOS.2.selenocysteine	cds-XP_016010389.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_016011958.2	Downstream
SEPHS2.1.selenocysteine	cds-XP_016010606.1	Well annotated
TXNRD.10.selenocysteine	cds-XP_015982517.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_036091771.1	Upstream
TXNRD.10.selenocysteine	cds-XP_036093272.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_036093273.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_036093274.1	Stop codon
TXNRD.14.selenocysteine	cds-XP_036085637.1	Stop codon
TXNRD.14.selenocysteine	cds-XP_036085638.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_016022416.2	Stop codon
TXNRD.32.selenocysteine	cds-XP_016022417.2	Stop codon
TXNRD.32.selenocysteine	cds-XP_016022418.2	Stop codon
