transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSDDJP00000023006	Skipped
DIO.15.selenocysteine	ENSDDJP00000021788	Downstream
DIO.17.selenocysteine	ENSDDJP00000020234	Skipped
DIO.2.selenocysteine	ENSDDJP00000019689	Skipped
GPX.1.selenocysteine	ENSDDJP00000022026	Downstream
GPX.1.selenocysteine	ENSDDJP00000022035	Skipped
GPX.1.selenocysteine	ENSDDJP00000022047	Skipped
GPX.11.selenocysteine	ENSDDJP00000041593	Downstream
GPX.14.selenocysteine	ENSDDJP00000012324	Skipped
GPX.3.selenocysteine	ENSDDJP00000021276	Skipped
GPX.5.selenocysteine	ENSDDJP00000019306	Downstream
GPX.5.selenocysteine	ENSDDJP00000019314	Downstream
GPX.8.selenocysteine	ENSDDJP00000004539	Out of frame
MSRB.8.selenocysteine	ENSDDJP00000013659	Stop codon
MSRB.8.selenocysteine	ENSDDJP00000013667	Stop codon
MsrA.2.selenocysteine	ENSDDJP00000021386	Skipped
SELENOF.1.selenocysteine	ENSDDJP00000020778	Skipped
SELENOF.1.selenocysteine	ENSDDJP00000020787	Skipped
SELENOH.1.selenocysteine	ENSDDJP00000005613	Downstream
SELENOL.2.selenocysteine	ENSDDJP00000037909	Skipped
SELENON.7.selenocysteine	ENSDDJP00000036482	Stop codon
SELENON.7.selenocysteine	ENSDDJP00000036494	Skipped
SELENON.7.selenocysteine	ENSDDJP00000036508	Skipped
SELENOP.2.selenocysteine	ENSDDJP00000014719	Downstream
SELENOT.2.selenocysteine	ENSDDJP00000002603	Downstream
SELENOU.5.selenocysteine	ENSDDJP00000014369	Skipped
SELENOU.8.selenocysteine	ENSDDJP00000028787	Skipped
SEPHS2.1.selenocysteine	ENSDDJP00000011829	Skipped
TXNRD.16.selenocysteine	ENSDDJP00000010542	Stop codon
