transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_041661570.1	Well annotated
DIO.2.selenocysteine	cds-XP_041668771.1	Well annotated
DIO.7.selenocysteine	cds-XP_041648304.1	Well annotated
GPX.10.selenocysteine	cds-XP_041653064.1	Well annotated
GPX.15.selenocysteine	cds-XP_041672072.1	Well annotated
GPX.18.selenocysteine	cds-XP_041660235.1	Well annotated
GPX.3.selenocysteine	cds-XP_041639422.1	Well annotated
GPX.4.selenocysteine	cds-XP_041638762.1	Well annotated
GPX.6.selenocysteine	cds-XP_041668759.1	Well annotated
GPX.9.selenocysteine	cds-XP_041648071.1	Well annotated
GPX.9.selenocysteine	cds-XP_041648073.1	Well annotated
GPX.9.selenocysteine	cds-XP_041648074.1	Well annotated
MSRB.1.selenocysteine	cds-XP_041634193.1	Well annotated
MSRB.2.selenocysteine	cds-XP_041634544.1	Well annotated
MSRB.5.selenocysteine	cds-XP_041671880.1	Well annotated
SELENOE.5.selenocysteine	cds-XP_041644252.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_041659703.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_041654217.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_041661680.1	Well annotated
SELENOJ.5.selenocysteine	cds-XP_041659654.1	Well annotated
SELENOJ.9.selenocysteine	cds-XP_041670345.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_041656330.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_041661574.1	Well annotated
SELENON.8.selenocysteine	cds-XP_041668382.1	Well annotated
SELENOO.10.selenocysteine	cds-XP_041637174.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_041651829.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_041651830.1	Stop codon
SELENOP.2.selenocysteine	cds-XP_041643605.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_041643606.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_041658511.1	Well annotated
SELENOS.2.selenocysteine	cds-XP_041640908.1	Stop codon
SELENOS.2.selenocysteine	cds-XP_041640916.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_041653421.1	Well annotated
SELENOT.8.selenocysteine	cds-XP_041658441.1	Well annotated
SELENOU.12.selenocysteine	cds-XP_041671753.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_041644735.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_041644736.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_041644737.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_041644738.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_041644739.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_041672727.1	Well annotated
TXNRD.1.selenocysteine	cds-XP_041643623.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_041638750.1	Stop codon
TXNRD.29.selenocysteine	cds-XP_041636805.1	Stop codon
TXNRD.29.selenocysteine	cds-XP_041636807.1	Stop codon
TXNRD.29.selenocysteine	cds-XP_041636808.1	Stop codon
TXNRD.29.selenocysteine	cds-XP_041636809.1	Stop codon
