transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_061251347.1	Well annotated
DIO.3.selenocysteine	cds-XP_061285585.1	Well annotated
DIO.3.selenocysteine	cds-XP_061285586.1	Well annotated
DIO.6.selenocysteine	cds-XP_061267871.1	Well annotated
DIO.6.selenocysteine	cds-XP_061267872.1	Well annotated
GPX.12.selenocysteine	cds-XP_061280064.1	Well annotated
GPX.2.selenocysteine	cds-XP_061253586.1	Well annotated
GPX.25.selenocysteine	cds-XP_061254672.1	Well annotated
GPX.4.selenocysteine	cds-XP_061285129.1	Well annotated
GPX.8.selenocysteine	cds-XP_061279406.1	Well annotated
GPX.8.selenocysteine	cds-XP_061279407.1	Well annotated
GPX.8.selenocysteine	cds-XP_061279408.1	Well annotated
MSRB.2.selenocysteine	cds-XP_061256769.1	Well annotated
MSRB.2.selenocysteine	cds-XP_061256770.1	Upstream
SELENOF.3.selenocysteine	cds-XP_061267372.1	Well annotated
SELENOH.4.selenocysteine	cds-XP_061237572.1	Well annotated
SELENOI.10.selenocysteine	cds-XP_061289054.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_061252630.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_061252631.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_061241393.1	Well annotated
SELENON.7.selenocysteine	cds-XP_061248875.1	Well annotated
SELENON.7.selenocysteine	cds-XP_061248883.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_061274911.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_061274912.1	Out of frame
SELENOP.2.selenocysteine	cds-XP_061249602.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_061250198.1	Stop codon
SELENOS.3.selenocysteine	cds-XP_061250199.1	Stop codon
SELENOS.3.selenocysteine	cds-XP_061250200.1	Upstream
SELENOT.2.selenocysteine	cds-XP_061274943.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_061244240.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_061244241.1	Well annotated
SELENOW.5.selenocysteine	cds-XP_061244817.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_061257648.1	Well annotated
TXNRD.10.selenocysteine	cds-XP_061273123.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_061273125.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_061251644.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_061241718.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_061241719.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_061241720.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_061241722.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_061241723.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_061241724.1	Upstream
TXNRD.31.selenocysteine	cds-XP_061241725.1	Stop codon
