transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NXP65030.1	Downstream
DIO.3.selenocysteine	cds-CHLCYA_R13541	Well annotated
DIO.5.selenocysteine	cds-NXP62511.1	Stop codon
GPX.1.selenocysteine	cds-NXP67101.1	Downstream
GPX.12.selenocysteine	cds-CHLCYA_R13392	Well annotated
GPX.3.selenocysteine	cds-NXP65284.1	Downstream
GPX.6.selenocysteine	cds-NXP69036.1	Skipped
MSRB.1.selenocysteine	cds-NXP59250.1	Stop codon
SELENOI.10.selenocysteine	cds-CHLCYA_R13323	Out of frame
SELENOK.2.selenocysteine	cds-NXP63127.1	Stop codon
SELENOM.3.selenocysteine	cds-NXP67926.1	Downstream
SELENON.5.selenocysteine	cds-NXP68762.1	Skipped
SELENOO.2.selenocysteine	cds-NXP59564.1	Stop codon
SELENOP.1.selenocysteine	cds-NXP60036.1	Downstream
SELENOP.3.selenocysteine	cds-NXP68605.1	Downstream
SELENOS.2.selenocysteine	cds-NXP65341.1	Stop codon
SELENOT.2.selenocysteine	cds-NXP65581.1	Downstream
SELENOU.6.selenocysteine	cds-NXP67153.1	Downstream
SELENOU.6.selenocysteine	cds-NXP67155.1	Stop codon
TXNRD.12.selenocysteine	cds-NXP66073.1	Upstream
TXNRD.36.selenocysteine	cds-NXP68727.1	Stop codon
TXNRD.9.selenocysteine	cds-NXP58747.1	Stop codon
