transcript_id	transcript_id_ens	Type_annotation
DIO.17.selenocysteine	cds-CAH3028409.1	Skipped
DIO.19.selenocysteine	cds-CAH3029918.1	Downstream
DIO.21.selenocysteine	cds-CAH3191753.1	Skipped
DIO.5.selenocysteine	cds-CAH3038448.1	Skipped
DIO.6.selenocysteine	cds-CAH3038454.1	Skipped
DIO.7.selenocysteine	cds-CAH3038451.1	Skipped
GPX.13.selenocysteine	cds-CAH3171877.1	Skipped
GPX.3.selenocysteine	cds-CAH3020144.1	Skipped
GPX.4.selenocysteine	cds-CAH3020144.1	Skipped
GPX.7.selenocysteine	cds-CAH3029653.1	Downstream
MSRB.12.selenocysteine	cds-CAH3029138.1	Stop codon
MsrA.2.selenocysteine	cds-CAH3178154.1	Downstream
SELENOF.1.selenocysteine	cds-CAH3017660.1	Skipped
SELENOL.3.selenocysteine	cds-CAH3021804.1	Skipped
SELENOL.4.selenocysteine	cds-CAH3021803.1	Skipped
SELENON.3.selenocysteine	cds-CAH3171495.1	Skipped
SELENOP.3.selenocysteine	cds-CAH3166547.1	Downstream
SELENOU.10.selenocysteine	cds-CAH3153676.1	Skipped
SELENOU.5.selenocysteine	cds-CAH3016409.1	Skipped
SELENOU.7.selenocysteine	cds-CAH3016408.1	Downstream
SELENOW.2.selenocysteine	cds-CAH3027013.1	Downstream
SEPHS2.1.selenocysteine	cds-CAH3028000.1	Downstream
TXNRD.38.selenocysteine	cds-CAH3192133.1	Upstream
TXNRD.4.selenocysteine	cds-CAH3022016.1	Upstream
