transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01020016776	Downstream
DIO.1.selenocysteine	ENSP01020016777	Well annotated
DIO.3.selenocysteine	ENSP01020011530	Well annotated
DIO.3.selenocysteine	ENSP01020011532	Well annotated
DIO.3.selenocysteine	ENSP01020011536	Upstream
DIO.3.selenocysteine	ENSP01020011538	Out of frame
DIO.3.selenocysteine	ENSP01020011541	Upstream
DIO.3.selenocysteine	ENSP01020011543	Upstream
DIO.3.selenocysteine	ENSP01020011544	Upstream
DIO.4.selenocysteine	ENSP01020101673	Well annotated
DIO.4.selenocysteine	ENSP01020101674	Well annotated
DIO.4.selenocysteine	ENSP01020101675	Well annotated
DIO.4.selenocysteine	ENSP01020101676	Out of frame
DIO.4.selenocysteine	ENSP01020101677	Out of frame
DIO.4.selenocysteine	ENSP01020101678	Upstream
DIO.4.selenocysteine	ENSP01020101679	Out of frame
DIO.4.selenocysteine	ENSP01020101680	Skipped
DIO.4.selenocysteine	ENSP01020101681	Downstream
DIO.4.selenocysteine	ENSP01020101682	Well annotated
DIO.4.selenocysteine	ENSP01020101683	Upstream
DIO.4.selenocysteine	ENSP01020101684	Upstream
GPX.11.selenocysteine	ENSP01020074518	Well annotated
GPX.11.selenocysteine	ENSP01020074519	Well annotated
GPX.11.selenocysteine	ENSP01020074520	Well annotated
GPX.11.selenocysteine	ENSP01020074521	Well annotated
GPX.11.selenocysteine	ENSP01020074522	Well annotated
GPX.11.selenocysteine	ENSP01020074523	Well annotated
GPX.11.selenocysteine	ENSP01020074524	Well annotated
GPX.11.selenocysteine	ENSP01020074525	Downstream
GPX.11.selenocysteine	ENSP01020074526	Well annotated
GPX.11.selenocysteine	ENSP01020074527	Well annotated
GPX.11.selenocysteine	ENSP01020074528	Well annotated
GPX.11.selenocysteine	ENSP01020074529	Downstream
GPX.16.selenocysteine	ENSP01020084432	Well annotated
GPX.16.selenocysteine	ENSP01020084433	Well annotated
GPX.16.selenocysteine	ENSP01020084434	Upstream
GPX.16.selenocysteine	ENSP01020084435	Upstream
GPX.16.selenocysteine	ENSP01020084436	Out of frame
GPX.18.selenocysteine	ENSP01020014134	Well annotated
GPX.18.selenocysteine	ENSP01020014135	Well annotated
GPX.3.selenocysteine	ENSP01020108218	Well annotated
GPX.3.selenocysteine	ENSP01020108219	Well annotated
GPX.3.selenocysteine	ENSP01020108220	Skipped
GPX.3.selenocysteine	ENSP01020108221	Well annotated
GPX.3.selenocysteine	ENSP01020108222	Well annotated
GPX.3.selenocysteine	ENSP01020108223	Well annotated
GPX.3.selenocysteine	ENSP01020108224	Skipped
GPX.3.selenocysteine	ENSP01020108225	Well annotated
GPX.3.selenocysteine	ENSP01020108226	Well annotated
GPX.3.selenocysteine	ENSP01020108227	Well annotated
GPX.3.selenocysteine	ENSP01020108228	Well annotated
GPX.3.selenocysteine	ENSP01020108229	Upstream
GPX.3.selenocysteine	ENSP01020108230	Well annotated
GPX.3.selenocysteine	ENSP01020108231	Well annotated
GPX.5.selenocysteine	ENSP01020041900	Well annotated
GPX.5.selenocysteine	ENSP01020041902	Well annotated
GPX.5.selenocysteine	ENSP01020041903	Skipped
GPX.5.selenocysteine	ENSP01020041905	Well annotated
MSRB.2.selenocysteine	ENSP01020056026	Well annotated
MSRB.2.selenocysteine	ENSP01020056027	Upstream
MSRB.2.selenocysteine	ENSP01020056028	Out of frame
MSRB.2.selenocysteine	ENSP01020056029	Out of frame
SELENOF.3.selenocysteine	ENSP01020067238	Well annotated
SELENOF.3.selenocysteine	ENSP01020067239	Well annotated
SELENOF.3.selenocysteine	ENSP01020067240	Well annotated
SELENOF.3.selenocysteine	ENSP01020067241	Out of frame
SELENOF.3.selenocysteine	ENSP01020067242	Out of frame
SELENOH.2.selenocysteine	ENSP01020029286	Well annotated
SELENOH.2.selenocysteine	ENSP01020029287	Well annotated
SELENOH.2.selenocysteine	ENSP01020029288	Out of frame
SELENOI.3.selenocysteine	ENSP01020032755	Upstream
SELENOI.3.selenocysteine	ENSP01020032756	Well annotated
SELENOI.3.selenocysteine	ENSP01020032757	Upstream
SELENOK.7.selenocysteine	ENSP01020109626	Well annotated
SELENOK.7.selenocysteine	ENSP01020109627	Out of frame
SELENOM.2.selenocysteine	ENSP01020014352	Well annotated
SELENOM.2.selenocysteine	ENSP01020014353	Well annotated
SELENON.4.selenocysteine	ENSP01020052195	Well annotated
SELENON.4.selenocysteine	ENSP01020052199	Well annotated
SELENON.4.selenocysteine	ENSP01020052200	Well annotated
SELENON.4.selenocysteine	ENSP01020052201	Well annotated
SELENOO.7.selenocysteine	ENSP01020033401	Well annotated
SELENOP.3.selenocysteine	ENSP01020065225	Well annotated
SELENOP.3.selenocysteine	ENSP01020065226	Well annotated
SELENOP.3.selenocysteine	ENSP01020065228	Well annotated
SELENOP.3.selenocysteine	ENSP01020065230	Well annotated
SELENOP.3.selenocysteine	ENSP01020065232	Well annotated
SELENOP.3.selenocysteine	ENSP01020065235	Well annotated
SELENOS.2.selenocysteine	ENSP01020062140	Well annotated
SELENOS.2.selenocysteine	ENSP01020062141	Well annotated
SELENOS.2.selenocysteine	ENSP01020062142	Well annotated
SELENOS.2.selenocysteine	ENSP01020062143	Upstream
SELENOT.5.selenocysteine	ENSP01020070052	Downstream
SELENOT.5.selenocysteine	ENSP01020070053	Downstream
SELENOT.5.selenocysteine	ENSP01020070054	Well annotated
SELENOT.5.selenocysteine	ENSP01020070055	Upstream
SELENOT.5.selenocysteine	ENSP01020070056	Downstream
SELENOW.3.selenocysteine	ENSP01020007497	Well annotated
SELENOW.4.selenocysteine	ENSP01020009956	Well annotated
SELENOW.4.selenocysteine	ENSP01020009957	Well annotated
SELENOW.4.selenocysteine	ENSP01020009958	Well annotated
SELENOW.4.selenocysteine	ENSP01020009959	Well annotated
SEPHS2.1.selenocysteine	ENSP01020079254	Well annotated
TXNRD.10.selenocysteine	ENSP01020047028	Well annotated
TXNRD.10.selenocysteine	ENSP01020047029	Upstream
TXNRD.10.selenocysteine	ENSP01020047030	Well annotated
TXNRD.10.selenocysteine	ENSP01020047031	Well annotated
TXNRD.10.selenocysteine	ENSP01020047032	Upstream
TXNRD.10.selenocysteine	ENSP01020047033	Well annotated
TXNRD.10.selenocysteine	ENSP01020047034	Upstream
TXNRD.10.selenocysteine	ENSP01020047035	Well annotated
TXNRD.10.selenocysteine	ENSP01020047036	Upstream
TXNRD.10.selenocysteine	ENSP01020047037	Well annotated
TXNRD.10.selenocysteine	ENSP01020047038	Upstream
TXNRD.10.selenocysteine	ENSP01020047039	Upstream
TXNRD.10.selenocysteine	ENSP01020047040	Well annotated
TXNRD.10.selenocysteine	ENSP01020047041	Upstream
TXNRD.10.selenocysteine	ENSP01020047042	Upstream
TXNRD.13.selenocysteine	ENSP01020078266	Well annotated
TXNRD.13.selenocysteine	ENSP01020078270	Well annotated
TXNRD.25.selenocysteine	ENSP01020037611	Stop codon
TXNRD.25.selenocysteine	ENSP01020037612	Stop codon
TXNRD.25.selenocysteine	ENSP01020037613	Out of frame
TXNRD.25.selenocysteine	ENSP01020037614	Stop codon
TXNRD.25.selenocysteine	ENSP01020037615	Stop codon
TXNRD.25.selenocysteine	ENSP01020037616	Stop codon
TXNRD.25.selenocysteine	ENSP01020037617	Stop codon
TXNRD.25.selenocysteine	ENSP01020037618	Stop codon
TXNRD.25.selenocysteine	ENSP01020037619	Stop codon
TXNRD.25.selenocysteine	ENSP01020037620	Stop codon
TXNRD.25.selenocysteine	ENSP01020037621	Upstream
TXNRD.25.selenocysteine	ENSP01020037622	Upstream
