transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_026237261.1	Well annotated
DIO.3.selenocysteine	cds-XP_026257698.2	Out of frame
DIO.5.selenocysteine	cds-XP_077647462.1	Well annotated
DIO.5.selenocysteine	cds-XP_077647463.1	Well annotated
GPX.11.selenocysteine	cds-XP_026255948.2	Well annotated
GPX.2.selenocysteine	cds-XP_026239575.1	Well annotated
GPX.22.selenocysteine	cds-XP_026270343.1	Well annotated
GPX.26.selenocysteine	cds-XP_026269742.1	Well annotated
GPX.4.selenocysteine	cds-XP_026240911.1	Well annotated
GPX.4.selenocysteine	cds-XP_026240912.1	Well annotated
MSRB.1.selenocysteine	cds-XP_026241054.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_026259118.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_026259119.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_026262297.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_077647998.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_026244390.1	Well annotated
SELENOM.1.selenocysteine	cds-XP_026264682.1	Well annotated
SELENOO.2.selenocysteine	cds-XP_026269367.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_026237628.2	Well annotated
SELENOS.1.selenocysteine	cds-XP_026250520.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_077650076.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_077649365.1	Well annotated
SEPHS2.2.selenocysteine	cds-XP_026256122.1	Well annotated
TXNRD.16.selenocysteine	cds-XP_026252528.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_026252538.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_026252545.1	Stop codon
TXNRD.26.selenocysteine	cds-XP_077649582.1	Stop codon
TXNRD.40.selenocysteine	cds-XP_026257428.1	Stop codon
TXNRD.40.selenocysteine	cds-XP_026257429.1	Stop codon
TXNRD.40.selenocysteine	cds-XP_026257430.1	Stop codon
TXNRD.40.selenocysteine	cds-XP_026257431.1	Stop codon
TXNRD.40.selenocysteine	cds-XP_026257432.1	Stop codon
