transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSDVQP00000030983	Downstream
DIO.14.selenocysteine	ENSDVQP00000033560	Skipped
DIO.14.selenocysteine	ENSDVQP00000033575	Skipped
DIO.14.selenocysteine	ENSDVQP00000033583	Skipped
DIO.14.selenocysteine	ENSDVQP00000033594	Skipped
DIO.14.selenocysteine	ENSDVQP00000033606	Skipped
DIO.15.selenocysteine	ENSDVQP00000033449	Skipped
DIO.15.selenocysteine	ENSDVQP00000033458	Skipped
DIO.15.selenocysteine	ENSDVQP00000033477	Skipped
DIO.15.selenocysteine	ENSDVQP00000033485	Skipped
DIO.15.selenocysteine	ENSDVQP00000033492	Skipped
DIO.15.selenocysteine	ENSDVQP00000033509	Skipped
DIO.2.selenocysteine	ENSDVQP00000071878	Stop codon
DIO.2.selenocysteine	ENSDVQP00000071898	Downstream
DIO.3.selenocysteine	ENSDVQP00000021046	Downstream
DIO.3.selenocysteine	ENSDVQP00000024666	Stop codon
DIO.5.selenocysteine	ENSDVQP00000030051	Skipped
DIO.6.selenocysteine	ENSDVQP00000060041	Skipped
DIO.6.selenocysteine	ENSDVQP00000060051	Skipped
DIO.6.selenocysteine	ENSDVQP00000060063	Skipped
DIO.8.selenocysteine	ENSDVQP00000033118	Well annotated
GPX.10.selenocysteine	ENSDVQP00000054314	Skipped
GPX.10.selenocysteine	ENSDVQP00000054385	Skipped
GPX.10.selenocysteine	ENSDVQP00000054404	Skipped
GPX.10.selenocysteine	ENSDVQP00000054408	Skipped
GPX.10.selenocysteine	ENSDVQP00000054446	Skipped
GPX.10.selenocysteine	ENSDVQP00000054455	Skipped
GPX.10.selenocysteine	ENSDVQP00000054497	Skipped
GPX.10.selenocysteine	ENSDVQP00000054502	Skipped
GPX.10.selenocysteine	ENSDVQP00000054511	Skipped
GPX.10.selenocysteine	ENSDVQP00000054518	Skipped
GPX.17.selenocysteine	ENSDVQP00000053315	Stop codon
GPX.17.selenocysteine	ENSDVQP00000053327	Downstream
GPX.2.selenocysteine	ENSDVQP00000012859	Well annotated
GPX.2.selenocysteine	ENSDVQP00000012878	Skipped
GPX.2.selenocysteine	ENSDVQP00000012903	Skipped
GPX.2.selenocysteine	ENSDVQP00000012915	Skipped
GPX.26.selenocysteine	ENSDVQP00000065929	Downstream
GPX.27.selenocysteine	ENSDVQP00000015169	Skipped
GPX.27.selenocysteine	ENSDVQP00000015180	Skipped
GPX.27.selenocysteine	ENSDVQP00000015187	Skipped
