transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSMUGP00015007017	Downstream
DIO.3.selenocysteine	ENSMUGP00015008229	Stop codon
DIO.5.selenocysteine	ENSMUGP00015028530	Skipped
GPX.11.selenocysteine	ENSMUGP00015032922	Skipped
GPX.2.selenocysteine	ENSMUGP00015017762	Out of frame
GPX.22.selenocysteine	ENSMUGP00015029933	Skipped
GPX.5.selenocysteine	ENSMUGP00015019957	Downstream
MSRB.1.selenocysteine	ENSMUGP00015012632	Stop codon
MSRB.1.selenocysteine	ENSMUGP00015012634	Upstream
SELENOF.3.selenocysteine	ENSMUGP00015019838	Stop codon
SELENOF.3.selenocysteine	ENSMUGP00015019844	Skipped
SELENOH.1.selenocysteine	ENSMUGP00015023780	Skipped
SELENOI.3.selenocysteine	ENSMUGP00015010601	Stop codon
SELENOK.8.selenocysteine	ENSMUGP00015021352	Stop codon
SELENOM.2.selenocysteine	ENSMUGP00015019959	Skipped
SELENON.10.selenocysteine	ENSMUGP00015035074	Skipped
SELENOO.5.selenocysteine	ENSMUGP00015026973	Stop codon
SELENOS.2.selenocysteine	ENSMUGP00015014870	Stop codon
SELENOT.2.selenocysteine	ENSMUGP00015026328	Skipped
SELENOW.3.selenocysteine	ENSMUGP00015005163	Skipped
TXNRD.16.selenocysteine	ENSMUGP00015024669	Stop codon
TXNRD.38.selenocysteine	ENSMUGP00015032358	Upstream
TXNRD.38.selenocysteine	ENSMUGP00015032372	Stop codon
TXNRD.38.selenocysteine	ENSMUGP00015032379	Stop codon
TXNRD.38.selenocysteine	ENSMUGP00015032387	Stop codon
TXNRD.38.selenocysteine	ENSMUGP00015032392	Stop codon
TXNRD.38.selenocysteine	ENSMUGP00015032399	Stop codon
TXNRD.38.selenocysteine	ENSMUGP00015032405	Stop codon
TXNRD.5.selenocysteine	ENSMUGP00015009090	Stop codon
TXNRD.5.selenocysteine	ENSMUGP00015009091	Stop codon
