transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01810002591	Downstream
DIO.1.selenocysteine	ENSP01810002592	Well annotated
DIO.3.selenocysteine	ENSP01810042613	Well annotated
DIO.3.selenocysteine	ENSP01810042614	Well annotated
DIO.3.selenocysteine	ENSP01810042616	Upstream
DIO.3.selenocysteine	ENSP01810042617	Out of frame
DIO.3.selenocysteine	ENSP01810042619	Upstream
DIO.3.selenocysteine	ENSP01810042620	Upstream
DIO.3.selenocysteine	ENSP01810042622	Upstream
DIO.4.selenocysteine	ENSP01810068260	Well annotated
DIO.4.selenocysteine	ENSP01810068262	Well annotated
DIO.4.selenocysteine	ENSP01810068263	Well annotated
DIO.4.selenocysteine	ENSP01810068264	Out of frame
DIO.4.selenocysteine	ENSP01810068265	Out of frame
DIO.4.selenocysteine	ENSP01810068266	Upstream
DIO.4.selenocysteine	ENSP01810068268	Out of frame
DIO.4.selenocysteine	ENSP01810068271	Skipped
DIO.4.selenocysteine	ENSP01810068275	Downstream
DIO.4.selenocysteine	ENSP01810068278	Well annotated
DIO.4.selenocysteine	ENSP01810068279	Upstream
DIO.4.selenocysteine	ENSP01810068281	Upstream
GPX.11.selenocysteine	ENSP01810010031	Well annotated
GPX.11.selenocysteine	ENSP01810010034	Well annotated
GPX.11.selenocysteine	ENSP01810010037	Well annotated
GPX.11.selenocysteine	ENSP01810010039	Well annotated
GPX.11.selenocysteine	ENSP01810010041	Well annotated
GPX.11.selenocysteine	ENSP01810010044	Well annotated
GPX.11.selenocysteine	ENSP01810010046	Well annotated
GPX.11.selenocysteine	ENSP01810010047	Downstream
GPX.11.selenocysteine	ENSP01810010048	Well annotated
GPX.11.selenocysteine	ENSP01810010049	Well annotated
GPX.11.selenocysteine	ENSP01810010050	Well annotated
GPX.11.selenocysteine	ENSP01810010053	Downstream
GPX.16.selenocysteine	ENSP01810101722	Well annotated
GPX.16.selenocysteine	ENSP01810101726	Well annotated
GPX.16.selenocysteine	ENSP01810101728	Upstream
GPX.16.selenocysteine	ENSP01810101730	Upstream
GPX.16.selenocysteine	ENSP01810101731	Out of frame
GPX.18.selenocysteine	ENSP01810041157	Well annotated
GPX.18.selenocysteine	ENSP01810041159	Well annotated
GPX.3.selenocysteine	ENSP01810092247	Well annotated
GPX.3.selenocysteine	ENSP01810092248	Well annotated
GPX.3.selenocysteine	ENSP01810092249	Skipped
GPX.3.selenocysteine	ENSP01810092251	Well annotated
GPX.3.selenocysteine	ENSP01810092253	Well annotated
GPX.3.selenocysteine	ENSP01810092254	Well annotated
GPX.3.selenocysteine	ENSP01810092256	Skipped
GPX.3.selenocysteine	ENSP01810092257	Well annotated
GPX.3.selenocysteine	ENSP01810092259	Well annotated
GPX.3.selenocysteine	ENSP01810092260	Well annotated
GPX.3.selenocysteine	ENSP01810092261	Well annotated
GPX.3.selenocysteine	ENSP01810092262	Upstream
GPX.3.selenocysteine	ENSP01810092263	Well annotated
GPX.3.selenocysteine	ENSP01810092264	Well annotated
GPX.5.selenocysteine	ENSP01810102895	Well annotated
GPX.5.selenocysteine	ENSP01810102896	Well annotated
GPX.5.selenocysteine	ENSP01810102897	Skipped
GPX.5.selenocysteine	ENSP01810102898	Well annotated
MSRB.2.selenocysteine	ENSP01810068162	Well annotated
MSRB.2.selenocysteine	ENSP01810068165	Upstream
MSRB.2.selenocysteine	ENSP01810068168	Out of frame
MSRB.2.selenocysteine	ENSP01810068170	Out of frame
SELENOF.3.selenocysteine	ENSP01810075220	Well annotated
SELENOF.3.selenocysteine	ENSP01810075221	Well annotated
SELENOF.3.selenocysteine	ENSP01810075224	Well annotated
SELENOF.3.selenocysteine	ENSP01810075228	Out of frame
SELENOF.3.selenocysteine	ENSP01810075232	Out of frame
SELENOH.2.selenocysteine	ENSP01810024802	Well annotated
SELENOH.2.selenocysteine	ENSP01810024803	Well annotated
SELENOH.2.selenocysteine	ENSP01810024804	Out of frame
SELENOI.3.selenocysteine	ENSP01810055238	Upstream
SELENOI.3.selenocysteine	ENSP01810055240	Well annotated
SELENOI.3.selenocysteine	ENSP01810055243	Upstream
SELENOK.7.selenocysteine	ENSP01810107933	Well annotated
SELENOK.7.selenocysteine	ENSP01810107934	Out of frame
