transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_042846495.1	Well annotated
DIO.3.selenocysteine	cds-XP_007095061.2	Out of frame
DIO.5.selenocysteine	cds-XP_007077242.2	Well annotated
DIO.5.selenocysteine	cds-XP_015390790.1	Well annotated
DIO.5.selenocysteine	cds-XP_015390791.1	Well annotated
GPX.12.selenocysteine	cds-XP_007093471.2	Well annotated
GPX.2.selenocysteine	cds-XP_007099407.3	Well annotated
GPX.2.selenocysteine	cds-XP_042833460.1	Well annotated
GPX.3.selenocysteine	cds-XP_042834875.1	Well annotated
GPX.5.selenocysteine	cds-XP_007095247.3	Well annotated
MSRB.1.selenocysteine	cds-XP_007098769.3	Well annotated
MSRB.1.selenocysteine	cds-XP_042827553.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_007079224.2	Well annotated
SELENOF.3.selenocysteine	cds-XP_015391693.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_042813294.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_015396062.2	Well annotated
SELENOI.3.selenocysteine	cds-XP_042838272.1	Upstream
SELENOK.3.selenocysteine	cds-XP_007081957.2	Well annotated
SELENOM.2.selenocysteine	cds-XP_007082626.2	Well annotated
SELENON.2.selenocysteine	cds-XP_042852264.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_042849541.1	Well annotated
SELENOS.8.selenocysteine	cds-XP_042844152.1	Stop codon
SELENOS.8.selenocysteine	cds-XP_042844153.1	Stop codon
SELENOT.1.selenocysteine	cds-XP_007086370.2	Well annotated
SELENOT.1.selenocysteine	cds-XP_042813132.1	Well annotated
SELENOT.1.selenocysteine	cds-XP_042813133.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_042853520.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_042825526.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_042825527.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_042825528.1	Well annotated
SELENOW.5.selenocysteine	cds-XP_007099142.2	Well annotated
SELENOW.5.selenocysteine	cds-XP_042826016.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_007094822.2	Well annotated
TXNRD.15.selenocysteine	cds-XP_007097450.2	Stop codon
TXNRD.34.selenocysteine	cds-XP_007091487.2	Stop codon
TXNRD.34.selenocysteine	cds-XP_042818854.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_042818855.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_042818856.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_042818857.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_042818858.1	Out of frame
TXNRD.34.selenocysteine	cds-XP_042818859.1	Stop codon
TXNRD.7.selenocysteine	cds-XP_007096530.3	Stop codon
TXNRD.7.selenocysteine	cds-XP_007096532.1	Stop codon
TXNRD.7.selenocysteine	cds-XP_042848999.1	Stop codon
