transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP00900003180	Downstream
DIO.1.selenocysteine	ENSP00900003181	Well annotated
DIO.3.selenocysteine	ENSP00900068078	Well annotated
DIO.3.selenocysteine	ENSP00900068079	Well annotated
DIO.3.selenocysteine	ENSP00900068081	Upstream
DIO.3.selenocysteine	ENSP00900068082	Out of frame
DIO.3.selenocysteine	ENSP00900068086	Upstream
DIO.3.selenocysteine	ENSP00900068087	Upstream
DIO.3.selenocysteine	ENSP00900068088	Upstream
DIO.4.selenocysteine	ENSP00900042593	Well annotated
DIO.4.selenocysteine	ENSP00900042594	Well annotated
DIO.4.selenocysteine	ENSP00900042595	Well annotated
DIO.4.selenocysteine	ENSP00900042597	Out of frame
DIO.4.selenocysteine	ENSP00900042599	Out of frame
DIO.4.selenocysteine	ENSP00900042600	Upstream
DIO.4.selenocysteine	ENSP00900042602	Out of frame
DIO.4.selenocysteine	ENSP00900042604	Skipped
DIO.4.selenocysteine	ENSP00900042606	Downstream
DIO.4.selenocysteine	ENSP00900042607	Well annotated
DIO.4.selenocysteine	ENSP00900042608	Upstream
DIO.4.selenocysteine	ENSP00900042609	Upstream
GPX.10.selenocysteine	ENSP00900008600	Well annotated
GPX.10.selenocysteine	ENSP00900008602	Well annotated
GPX.10.selenocysteine	ENSP00900008603	Well annotated
GPX.10.selenocysteine	ENSP00900008605	Well annotated
GPX.10.selenocysteine	ENSP00900008609	Well annotated
GPX.10.selenocysteine	ENSP00900008612	Well annotated
GPX.10.selenocysteine	ENSP00900008615	Well annotated
GPX.10.selenocysteine	ENSP00900008619	Downstream
GPX.10.selenocysteine	ENSP00900008622	Well annotated
GPX.10.selenocysteine	ENSP00900008623	Well annotated
GPX.10.selenocysteine	ENSP00900008624	Well annotated
GPX.10.selenocysteine	ENSP00900008626	Downstream
GPX.12.selenocysteine	ENSP00900103825	Well annotated
GPX.12.selenocysteine	ENSP00900103826	Well annotated
GPX.12.selenocysteine	ENSP00900103827	Upstream
GPX.12.selenocysteine	ENSP00900103828	Upstream
GPX.12.selenocysteine	ENSP00900103829	Out of frame
GPX.2.selenocysteine	ENSP00900102005	Well annotated
GPX.2.selenocysteine	ENSP00900102006	Well annotated
GPX.2.selenocysteine	ENSP00900102007	Skipped
GPX.2.selenocysteine	ENSP00900102008	Well annotated
GPX.2.selenocysteine	ENSP00900102009	Well annotated
GPX.2.selenocysteine	ENSP00900102010	Well annotated
GPX.2.selenocysteine	ENSP00900102011	Skipped
GPX.2.selenocysteine	ENSP00900102012	Well annotated
GPX.2.selenocysteine	ENSP00900102013	Well annotated
GPX.2.selenocysteine	ENSP00900102014	Well annotated
GPX.2.selenocysteine	ENSP00900102015	Well annotated
GPX.2.selenocysteine	ENSP00900102016	Upstream
GPX.2.selenocysteine	ENSP00900102017	Well annotated
GPX.2.selenocysteine	ENSP00900102018	Well annotated
GPX.20.selenocysteine	ENSP00900000063	Well annotated
GPX.20.selenocysteine	ENSP00900000064	Well annotated
GPX.4.selenocysteine	ENSP00900094321	Well annotated
GPX.4.selenocysteine	ENSP00900094322	Well annotated
GPX.4.selenocysteine	ENSP00900094324	Skipped
GPX.4.selenocysteine	ENSP00900094326	Well annotated
MSRB.2.selenocysteine	ENSP00900016546	Well annotated
MSRB.2.selenocysteine	ENSP00900016549	Upstream
MSRB.2.selenocysteine	ENSP00900016550	Out of frame
MSRB.2.selenocysteine	ENSP00900016551	Out of frame
SELENOF.3.selenocysteine	ENSP00900056128	Well annotated
SELENOF.3.selenocysteine	ENSP00900056129	Well annotated
SELENOF.3.selenocysteine	ENSP00900056132	Well annotated
SELENOF.3.selenocysteine	ENSP00900056136	Out of frame
SELENOF.3.selenocysteine	ENSP00900056138	Out of frame
SELENOH.2.selenocysteine	ENSP00900004163	Well annotated
SELENOH.2.selenocysteine	ENSP00900004165	Well annotated
SELENOH.2.selenocysteine	ENSP00900004166	Out of frame
SELENOI.3.selenocysteine	ENSP00900038026	Upstream
SELENOI.3.selenocysteine	ENSP00900038028	Well annotated
SELENOI.3.selenocysteine	ENSP00900038030	Upstream
SELENOK.7.selenocysteine	ENSP00900103701	Well annotated
SELENOK.7.selenocysteine	ENSP00900103702	Out of frame
SELENOM.2.selenocysteine	ENSP00900009336	Well annotated
SELENOM.2.selenocysteine	ENSP00900009339	Well annotated
SELENON.4.selenocysteine	ENSP00900064844	Well annotated
SELENON.4.selenocysteine	ENSP00900064845	Well annotated
SELENON.4.selenocysteine	ENSP00900064846	Well annotated
SELENON.4.selenocysteine	ENSP00900064849	Well annotated
SELENOO.7.selenocysteine	ENSP00900003687	Well annotated
SELENOP.3.selenocysteine	ENSP00900020672	Well annotated
SELENOP.3.selenocysteine	ENSP00900020675	Well annotated
SELENOP.3.selenocysteine	ENSP00900020676	Well annotated
SELENOP.3.selenocysteine	ENSP00900020678	Well annotated
SELENOP.3.selenocysteine	ENSP00900020681	Well annotated
SELENOP.3.selenocysteine	ENSP00900020686	Well annotated
SELENOS.2.selenocysteine	ENSP00900093268	Well annotated
SELENOS.2.selenocysteine	ENSP00900093269	Well annotated
SELENOS.2.selenocysteine	ENSP00900093270	Well annotated
SELENOS.2.selenocysteine	ENSP00900093271	Upstream
SELENOT.5.selenocysteine	ENSP00900052709	Downstream
SELENOT.5.selenocysteine	ENSP00900052715	Downstream
SELENOT.5.selenocysteine	ENSP00900052716	Well annotated
SELENOT.5.selenocysteine	ENSP00900052720	Upstream
SELENOT.5.selenocysteine	ENSP00900052722	Downstream
SELENOW.3.selenocysteine	ENSP00900032693	Well annotated
SELENOW.4.selenocysteine	ENSP00900015388	Well annotated
SELENOW.4.selenocysteine	ENSP00900015389	Well annotated
SELENOW.4.selenocysteine	ENSP00900015392	Well annotated
SELENOW.4.selenocysteine	ENSP00900015394	Well annotated
SEPHS2.1.selenocysteine	ENSP00900105311	Well annotated
TXNRD.10.selenocysteine	ENSP00900062436	Well annotated
TXNRD.10.selenocysteine	ENSP00900062437	Upstream
TXNRD.10.selenocysteine	ENSP00900062438	Well annotated
TXNRD.10.selenocysteine	ENSP00900062439	Well annotated
TXNRD.10.selenocysteine	ENSP00900062440	Upstream
TXNRD.10.selenocysteine	ENSP00900062441	Well annotated
TXNRD.10.selenocysteine	ENSP00900062443	Upstream
TXNRD.10.selenocysteine	ENSP00900062444	Well annotated
TXNRD.10.selenocysteine	ENSP00900062447	Upstream
TXNRD.10.selenocysteine	ENSP00900062450	Well annotated
TXNRD.10.selenocysteine	ENSP00900062452	Upstream
TXNRD.10.selenocysteine	ENSP00900062455	Upstream
TXNRD.10.selenocysteine	ENSP00900062457	Well annotated
TXNRD.10.selenocysteine	ENSP00900062458	Upstream
TXNRD.10.selenocysteine	ENSP00900062459	Upstream
TXNRD.13.selenocysteine	ENSP00900018318	Well annotated
TXNRD.13.selenocysteine	ENSP00900018321	Well annotated
TXNRD.34.selenocysteine	ENSP00900013217	Well annotated
TXNRD.34.selenocysteine	ENSP00900013218	Well annotated
TXNRD.34.selenocysteine	ENSP00900013219	Out of frame
TXNRD.34.selenocysteine	ENSP00900013220	Well annotated
TXNRD.34.selenocysteine	ENSP00900013221	Well annotated
TXNRD.34.selenocysteine	ENSP00900013222	Well annotated
TXNRD.34.selenocysteine	ENSP00900013224	Well annotated
TXNRD.34.selenocysteine	ENSP00900013226	Well annotated
TXNRD.34.selenocysteine	ENSP00900013228	Well annotated
TXNRD.34.selenocysteine	ENSP00900013230	Well annotated
TXNRD.34.selenocysteine	ENSP00900013235	Upstream
TXNRD.34.selenocysteine	ENSP00900013236	Upstream
