transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAN7633154.1	Well annotated
DIO.3.selenocysteine	cds-KAN7632252.1	Well annotated
DIO.5.selenocysteine	cds-KAN7645982.1	Well annotated
DIO.5.selenocysteine	cds-KAN7645983.1	Skipped
GPX.23.selenocysteine	cds-KAN7631580.1	Well annotated
GPX.23.selenocysteine	cds-KAN7631581.1	Well annotated
GPX.24.selenocysteine	cds-KAN7630761.1	Well annotated
GPX.4.selenocysteine	cds-KAN7617453.1	Well annotated
GPX.9.selenocysteine	cds-KAN7632043.1	Well annotated
MSRB.1.selenocysteine	cds-KAN7639416.1	Well annotated
SELENOF.1.selenocysteine	cds-KAN7646681.1	Well annotated
SELENOH.1.selenocysteine	cds-KAN7623069.1	Well annotated
SELENOI.3.selenocysteine	cds-KAN7619475.1	Well annotated
SELENOK.4.selenocysteine	cds-KAN7618337.1	Stop codon
SELENOM.1.selenocysteine	cds-KAN7611153.1	Well annotated
SELENON.4.selenocysteine	cds-KAN7645436.1	Well annotated
SELENOO.5.selenocysteine	cds-KAN7637367.1	Stop codon
SELENOO.5.selenocysteine	cds-KAN7637368.1	Stop codon
SELENOP.3.selenocysteine	cds-KAN7639541.1	Well annotated
SELENOP.3.selenocysteine	cds-KAN7639542.1	Well annotated
SELENOS.17.selenocysteine	cds-KAN7610537.1	Upstream
SELENOS.17.selenocysteine	cds-KAN7610538.1	Stop codon
SELENOT.2.selenocysteine	cds-KAN7634744.1	Well annotated
SELENOW.5.selenocysteine	cds-KAN7615896.1	Well annotated
SELENOW.5.selenocysteine	cds-KAN7615897.1	Well annotated
SEPHS2.1.selenocysteine	cds-KAN7638239.1	Well annotated
SEPHS2.2.selenocysteine	cds-KAN7638756.1	Well annotated
TXNRD.22.selenocysteine	cds-KAN7627083.1	Stop codon
TXNRD.22.selenocysteine	cds-KAN7627084.1	Stop codon
TXNRD.22.selenocysteine	cds-KAN7627085.1	Stop codon
TXNRD.34.selenocysteine	cds-KAN7611612.1	Stop codon
TXNRD.34.selenocysteine	cds-KAN7611613.1	Stop codon
TXNRD.34.selenocysteine	cds-KAN7611614.1	Stop codon
TXNRD.34.selenocysteine	cds-KAN7611615.1	Stop codon
TXNRD.9.selenocysteine	cds-KAN7637465.1	Stop codon
TXNRD.9.selenocysteine	cds-KAN7637466.1	Stop codon
TXNRD.9.selenocysteine	cds-KAN7637467.1	Stop codon
TXNRD.9.selenocysteine	cds-KAN7637468.1	Stop codon
