transcript_id	transcript_id_ens	Type_annotation
GPX.4.selenocysteine	ENSNNNP00000020655	Downstream
MSRB.8.selenocysteine	ENSNNNP00000000712	Stop codon
SELENOH.1.selenocysteine	ENSNNNP00000007732	Stop codon
SELENOH.1.selenocysteine	ENSNNNP00000007739	Upstream
SELENOM.2.selenocysteine	ENSNNNP00000013824	Downstream
SELENOM.2.selenocysteine	ENSNNNP00000013830	Downstream
SELENOT.2.selenocysteine	ENSNNNP00000004798	Skipped
SELENOU.2.selenocysteine	ENSNNNP00000014701	Downstream
SEPHS2.3.selenocysteine	ENSNNNP00000012902	Downstream
SEPHS2.5.selenocysteine	ENSNNNP00000023442	Downstream
SelKi.2.selenocysteine	ENSNNNP00000016838	Stop codon
TXNRD.5.selenocysteine	ENSNNNP00000021209	Stop codon
