transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_079556439.1	Well annotated
DIO.3.selenocysteine	cds-XP_079555849.1	Well annotated
DIO.5.selenocysteine	cds-XP_079552731.1	Well annotated
DIO.5.selenocysteine	cds-XP_079552732.1	Skipped
DIO.5.selenocysteine	cds-XP_079552733.1	Well annotated
GPX.10.selenocysteine	cds-XP_079555898.1	Well annotated
GPX.16.selenocysteine	cds-XP_079559777.1	Well annotated
GPX.16.selenocysteine	cds-XP_079559778.1	Well annotated
GPX.18.selenocysteine	cds-XP_079560184.1	Well annotated
GPX.18.selenocysteine	cds-XP_079560185.1	Well annotated
GPX.2.selenocysteine	cds-XP_079569320.1	Well annotated
MSRB.1.selenocysteine	cds-XP_079576011.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_079553571.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_079553572.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_079564904.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_079564905.1	Well annotated
SELENOI.10.selenocysteine	cds-XP_079577488.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_079571847.1	Stop codon
SELENOK.3.selenocysteine	cds-XP_079569224.1	Stop codon
SELENOK.3.selenocysteine	cds-XP_079569225.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_079573809.1	Well annotated
SELENON.8.selenocysteine	cds-XP_079553740.1	Well annotated
SELENON.8.selenocysteine	cds-XP_079553741.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_079570835.1	Stop codon
SELENOO.3.selenocysteine	cds-XP_079570836.1	Stop codon
SELENOP.3.selenocysteine	cds-XP_079557974.1	Well annotated
SELENOS.2.selenocysteine	cds-XP_079557424.1	Stop codon
SELENOT.5.selenocysteine	cds-XP_079561459.1	Skipped
SELENOW.3.selenocysteine	cds-XP_079579582.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_079575925.1	Well annotated
TXNRD.23.selenocysteine	cds-XP_079570191.1	Stop codon
TXNRD.37.selenocysteine	cds-XP_079573497.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_079570374.1	Stop codon
