transcript_id	transcript_id_ens	Type_annotation
DIO.10.selenocysteine	cds-XP_060076761.1	Well annotated
DIO.2.selenocysteine	cds-XP_060066668.1	Well annotated
DIO.8.selenocysteine	cds-XP_060075583.1	Well annotated
DIO.9.selenocysteine	cds-XP_060062572.1	Well annotated
FrnE.1.selenocysteine	cds-XP_060083162.1	Downstream
GPX.2.selenocysteine	cds-XP_060070897.1	Well annotated
GPX.3.selenocysteine	cds-XP_060068012.1	Well annotated
GPX.6.selenocysteine	cds-XP_060063520.1	Well annotated
GPX.8.selenocysteine	cds-XP_060072575.1	Well annotated
MSRB.9.selenocysteine	cds-XP_060082365.1	Well annotated
MsrA.10.selenocysteine	cds-XP_060066155.1	Downstream
SELENOF.2.selenocysteine	cds-XP_060065981.1	Well annotated
SELENOJ.4.selenocysteine	cds-XP_060078009.1	Stop codon
SELENOL.1.selenocysteine	cds-XP_060071702.1	Well annotated
SELENON.1.selenocysteine	cds-XP_060083704.1	Well annotated
SELENON.1.selenocysteine	cds-XP_060083705.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_060077321.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_060082644.1	Well annotated
SELENOU.10.selenocysteine	cds-XP_060066884.1	Well annotated
SELENOU.10.selenocysteine	cds-XP_060066885.1	Well annotated
SEPHS2.4.selenocysteine	cds-XP_060062905.1	Downstream
TXNRD.17.selenocysteine	cds-XP_060067352.1	Stop codon
TXNRD.17.selenocysteine	cds-XP_060067353.1	Stop codon
